dev,name,batch_size,_compile.compile_inner,compile_attempt_0,bytecode_tracing,get_fake_value,create_proxy,wrap_to_fake_tensor_and_record,variable_builder_call,compile_attempt_1,insert_deferred_runtime_asserts,OutputGraph.call_user_compiler,inductor_import,inductor_codecache_torch_key,_recursive_pre_grad_passes,pass.pre_grad_passes.group_batch_fusion_passes,pass.pre_grad_passes.efficient_conv_bn_eval_pass,pass.pre_grad_passes.apply_gumbel_max_trick_pass,create_aot_dispatcher_function,aot_collect_metadata,compile_fx.<locals>.fw_compiler_base,_recursive_joint_graph_passes,pass.joint_graph_passes.remove_noop_ops,pass.joint_graph_passes.constant_fold_uniform_value,pass.joint_graph_passes.pass_pattern_0,pass.joint_graph_passes.pass_pattern_1,compile_fx_inner,build_guards,gc,CacheBase.get_system.triton_key,fx_codegen_and_compile,TritonBundler.read_and_emit,TritonBundler.load_cached_static_autotuners,PyCodeCache.load_by_key_path,StaticAutotunerFuture.warm_precompile,async_compile.wait,additional_fake_tensor_prop,_recursive_post_grad_passes,pass.post_grad_passes.reorder_for_locality,pass.post_grad_passes.remove_profiler_ops,pass.post_grad_passes.post_grad_custom_pre_pass,pass.post_grad_passes.remove_noop_ops,pass.post_grad_passes.remove_assert_ops,pass.post_grad_passes.pass_pattern_0,pass.post_grad_passes.pass_pattern_1,pass.post_grad_passes.pass_pattern_2,pass.post_grad_passes.stable_sort,pass.post_grad_passes.move_constructors_to_cuda,pass.post_grad_passes.reinplace_inplaceable_ops,pass.post_grad_passes.decompose_triton_kernel_wrapper_functional,pass.post_grad_passes.decompose_auto_functionalized,pass.post_grad_passes.decompose_scan_to_while_loop,pass.post_grad_passes.decompose_map_to_while_loop,GraphLowering.run,GraphLowering.compile_to_fn,GraphLowering.compile_to_module,GraphLowering.codegen,Scheduler.__init__,Scheduler.fused_nodes,Scheduler.codegen,PythonWrapperCodegen.generate,TritonBundler.collect,CachingAutotuner.benchmark_all_configs
xpu,PLBartForConditionalGeneration,8,16.876472,16.676240,1.669115,0.420388,0.127098,0.117141,0.394988,0.029712,14.922484,0.821823,0.152085,0.010721,0.000051,0.001387,0.000030,14.022951,0.493510,11.932987,1.824143,0.027164,0.057689,1.500985,1.034841,0.005324,10.106436,10.072997,0.335467,1.728942,0.008623,0.000497,0.000053,0.011599,0.000033,0.000015,0.301991,0.509723,0.004022,0.004698,0.493337,0.000112,0.003569,0.000073,0.000042,1.825437,5.460929,5.460872,5.160245,2.257277,1.032013,2.776574,0.115030,0.298546,0.264929,0.008174,0.193609,0.000397,1.592660,0,0,0,0
xpu,GPT2ForSequenceClassification,4,13.641150,13.320448,2.371046,0.507765,0.199213,0.137734,0.521333,0.048576,10.826858,0.606739,0.150806,0.017099,0.000086,0.002519,0.000063,10.125259,0.542120,7.718782,1.816830,0.024543,0.073383,1.490980,1.101379,0.006270,5.899264,5.863827,0.177090,0.626779,0.004247,0.000272,0.000051,0.006262,0.000036,0.000014,0.096125,0.246519,0.002120,0.002676,0.050754,0.000111,0.001894,0.000052,0.000041,1.055705,3.213394,3.213339,2.883016,1.321851,0.560429,1.496984,0.057130,0.355002,0.322342,0.006279,0.307937,0.001051,1.088052,0.002047,0.000931,0.007304,0
xpu,RobertaForQuestionAnswering,32,14.075803,13.884090,1.360682,0.351825,0.088587,0.088680,0.337634,0.021765,12.454051,0.804939,0.145637,0.009221,0.000053,0.000971,0.000031,11.586249,0.383337,9.928337,1.710091,0.021820,0.060570,1.404372,1.032642,0.004534,8.216161,8.185018,0.271823,1.200261,0.007019,0.000426,0.000050,0.009699,0.000028,0.000015,0.284070,0.473744,0.003413,0.004094,0.078955,0.000105,0.002900,0.000064,0.000040,1.776987,4.354401,4.354344,3.927084,1.523707,0.800122,2.308605,0.085666,0.425215,0.396932,0.007597,0.184515,0.001293,1.307805,0,0,0,0
xpu,AlbertForQuestionAnswering,8,15.024465,14.956216,1.080117,0.355810,0.071161,0.014030,0.083422,0.016026,13.841410,0.589990,0.148310,0.009045,0.000046,0.000896,0.000028,13.230289,0.397760,11.388581,1.797517,0.021109,0.055740,1.498711,1.111691,0.004576,9.589486,9.561969,0.273990,1.200463,0.007122,0.000463,0.000051,0.009550,0.000028,0.000015,0.280914,0.469670,0.003231,0.004118,0.077520,0.000110,0.002891,0.000061,0.000047,1.818808,5.991004,5.990949,5.696095,3.355270,2.619019,2.260646,0.077326,0.293041,0.271713,0.008280,0.063645,0.000725,1.507484,0,0,0,0
xpu,LayoutLMForSequenceClassification,32,16.998701,16.611435,2.956794,0.587521,0.196917,0.182211,0.685288,0.049695,13.508684,0.812576,0.146679,0.014944,0.000079,0.002180,0.000060,12.575788,0.741197,9.467765,2.212402,0.041316,0.079092,1.825341,1.030136,0.006447,7.251885,7.209960,0.203075,0.916510,0.005277,0.000310,0.000050,0.008425,0.000027,0.000014,0.120329,0.470958,0.002570,0.003125,0.058453,0.000107,0.002273,0.000059,0.000044,1.398140,3.683988,3.683933,3.174220,1.273055,0.689203,1.808806,0.082979,0.534853,0.488348,0.005508,0.373189,0.001198,0.966661,0.001803,0.000869,0.006452,0
xpu,PegasusForCausalLM,32,11.211181,11.055436,1.135272,0.272169,0.083145,0.083875,0.297037,0.022697,9.855297,0.594784,0.144345,0.008681,0.000049,0.001007,0.000029,9.201218,0.304890,7.703700,1.563836,0.015775,0.034185,1.306386,1.039513,0.002915,6.138267,6.112313,0.200000,0.672745,0.004894,0.000336,0.000048,0.007519,0.000030,0.000014,0.119465,0.246571,0.002306,0.002646,0.056392,0.000095,0.002136,0.000056,0.000039,1.081903,3.645033,3.644978,3.221990,1.549045,0.735885,1.580752,0.083208,0.421224,0.396100,0.004625,0.150683,0.000642,0.810227,0,0,0,0
xpu,MegatronBertForCausalLM,4,20.324810,20.015838,2.445425,0.567196,0.164438,0.167112,0.619689,0.046243,17.441640,0.589636,0.143575,0.014833,0.000046,0.002030,0.000034,16.739018,0.722245,13.713281,1.499222,0.043805,0.079201,0.832841,0.005565,12.210883,12.171424,1.036141,0.380863,1.302147,0.009853,0.000589,0.000050,0.015519,0.000030,0.000014,0.232533,0.483833,0.004853,0.005615,0.109435,0.000113,0.004290,0.000072,0.000042,2.036739,6.356582,6.356525,6.086184,2.771185,1.407993,3.133751,0.164562,0.267424,0.220338,0.005124,0.297910,0.000888,0.956750,0,0,0,0
xpu,BlenderbotForCausalLM,4,19.029916,18.766835,1.956796,0.442064,0.151643,0.167170,0.553863,0.040690,16.697585,0.788375,0.147380,0.012710,0.000266,0.001888,0.000033,15.799783,0.566353,13.339704,0.855084,0.031957,0.066264,0.510005,0.005288,12.481674,12.442715,1.086691,0.638811,1.276479,0.009305,0.000576,0.000049,0.013505,0.000029,0.000015,0.221281,0.480336,0.004652,0.005427,0.108919,0.000101,0.003969,0.000066,0.000042,1.988989,6.497586,6.497528,5.937458,2.685483,1.410938,3.074048,0.161586,0.557345,0.511332,0.005374,0.253072,0.000871,1.128051,0,0,0,0
xpu,YituTechConvBert,16,18.016959,17.771937,1.841737,0.526542,0.150256,0.126648,0.472438,0.039437,15.826633,0.792505,0.148626,0.013372,0.000049,0.001706,0.000031,14.945368,0.599090,12.474523,2.138792,0.035566,0.063296,1.801982,1.093101,0.004482,10.332929,10.297132,0.347829,1.409398,0.008704,0.000572,0.000059,0.014616,0.000032,0.000014,0.321166,0.327453,0.004073,0.004602,0.097736,0.000110,0.003758,0.000068,0.000042,1.925471,5.742771,5.742713,5.477729,2.371998,1.112211,2.930512,0.161829,0.262514,0.223476,0.010158,0.236195,0.000640,2.361092,0,0,0,0
xpu,T5ForConditionalGeneration,4,15.555203,15.053024,1.723314,0.490031,0.132483,0.067771,0.308369,0.034116,13.249277,0.771345,0.144478,0.013777,0.000046,0.001753,0.000031,12.426435,0.564931,10.349763,1.086403,0.030954,0.049017,0.766540,0.001946,9.261265,9.232087,1.043971,0.292767,0.686289,0.008433,0.000440,0.000049,0.011696,0.000035,0.000015,0.256583,0.004272,0.003197,0.003856,0.077305,0.000118,0.003044,0.000063,0.000041,1.670258,4.977764,4.977711,4.676235,2.193630,1.472235,2.364868,0.110468,0.298857,0.269601,0.010960,0.494781,0.000442,1.660611,0,0,0,0
xpu,DebertaV2ForQuestionAnswering,8,24.293625,24.000275,2.568927,0.805209,0.206443,0.167975,0.592945,0.052693,20.838907,0.596134,0.152030,0.017460,0.000050,0.002668,0.000034,20.127039,0.762621,16.919514,2.518214,0.044254,0.097654,1.825156,1.094050,0.008406,14.397386,14.352417,0.509511,2.356116,0.012195,0.000719,0.000046,0.018825,0.000030,0.000014,0.552904,0.937187,0.006121,0.085961,0.148064,0.000131,0.005547,0.000080,0.000044,3.001561,7.361157,7.361092,7.041433,2.803815,1.532954,4.064966,0.156362,0.316868,0.266968,0.005464,0.280631,0.000234,0.844747,0,0,0,0
xpu,BlenderbotSmallForCausalLM,256,9.979964,9.858741,0.891807,0.209641,0.059631,0.058830,0.238071,0.017203,8.917525,0.594385,0.148086,0.007497,0.000046,0.000725,0.000030,8.278511,0.212756,7.388374,1.723333,0.010994,0.023773,1.290778,1.096722,0.002065,5.663924,5.642184,0.141523,0.454718,0.003314,0.000224,0.000049,0.004695,0.000025,0.000013,0.082976,0.162834,0.001462,0.001787,0.038786,0.000111,0.001463,0.000052,0.000040,0.776179,3.914326,3.914272,2.413053,0.930126,0.520060,1.418038,0.058386,1.499733,1.480117,0.005960,0.117059,0.000598,1.260518,0,0,0,0
xpu,T5Small,4,7.531798,7.354557,1.736893,0.493911,0.134830,0.068173,0.310135,0.034602,5.537051,0.800829,0.148595,0.014079,0.000046,0.001872,0.000031,4.684160,0.572117,2.614293,1.072350,0.029754,0.047106,0.760160,0.001976,1.540065,1.510751,1.036065,0.003079,0.001412,0.091576,0.062392,0.011499,0.170892,0.000689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
xpu,MegatronBertForQuestionAnswering,16,20.089324,19.798205,2.403172,0.744310,0.162333,0.168130,0.615145,0.043801,17.269244,0.596207,0.149878,0.014892,0.000050,0.002053,0.000032,16.560263,0.713669,13.546648,2.477327,0.041218,0.075195,1.861306,1.034222,0.005550,11.066143,11.026680,0.378248,1.303666,0.009956,0.000558,0.000048,0.015312,0.000031,0.000014,0.240778,0.485917,0.004736,0.005500,0.108180,0.000108,0.004177,0.000065,0.000041,2.018588,6.274130,6.274073,5.985226,2.748428,1.436293,3.058133,0.162169,0.286395,0.244662,0.003537,0.282166,0.000164,0.364079,0,0,0,0
xpu,DistilBertForMaskedLM,128,9.664377,9.553813,0.776139,0.220034,0.047287,0.048656,0.185304,0.013010,8.736429,0.592072,0.147627,0.006642,0.000051,0.000526,0.000029,8.106493,0.204474,7.223176,1.721545,0.010628,0.041141,1.286548,1.087670,0.002636,5.500570,5.479439,0.145848,0.621808,0.003655,0.000248,0.000047,0.005129,0.000028,0.000015,0.144814,0.240943,0.001553,0.001833,0.040204,0.000098,0.001475,0.000048,0.000039,0.868652,3.519423,3.519368,2.509583,0.860403,0.424523,1.594721,0.048813,1.008251,0.990840,0.007711,0.107086,0.000578,1.506137,0,0,0,0
xpu,M2M100ForConditionalGeneration,16,28.204708,27.862964,2.922933,0.668574,0.224259,0.217290,0.893374,0.053208,24.793134,0.589564,0.144988,0.015930,0.000045,0.002564,0.000033,24.062015,0.912054,20.195846,1.612754,0.051754,0.107906,0.908519,0.009633,18.578660,18.524745,1.039068,0.606690,2.540474,0.015841,0.000874,0.000049,0.022156,0.000031,0.000015,0.567912,0.996360,0.007496,0.009255,0.187364,0.000122,0.006537,0.000076,0.000042,3.542892,9.443776,9.443715,9.255919,4.002405,2.061666,5.007453,0.224722,0.184686,0.128216,0.009640,0.328807,0.000395,1.917345,0,0,0,0
xpu,PegasusForConditionalGeneration,64,31.208623,30.867769,2.892706,0.664484,0.212995,0.417966,0.891814,0.052974,27.830308,0.596714,0.144487,0.016239,0.000046,0.002590,0.000032,27.092039,0.916913,23.130491,2.662594,0.052599,0.110464,1.971808,1.042132,0.009530,20.463777,20.409596,0.634101,2.891919,0.016250,0.000934,0.000056,0.022483,0.000031,0.000014,0.590207,1.007777,0.007954,0.009661,0.470657,0.000114,0.006794,0.000073,0.000045,3.667954,11.829040,11.828979,9.617216,4.140208,2.104078,5.228119,0.226552,2.208480,2.151150,0.010425,0.327643,0.000810,2.070879,0,0,0,0
xpu,AllenaiLongformerBase,4,46.896971,43.661858,4.884444,1.366046,0.302427,0.111694,0.630295,2.859239,0.088055,41.415740,0.592560,0.149540,0.026142,0.000219,0.003872,0.000176,39.360016,1.543029,32.312881,1.906409,0.090443,0.162159,1.090517,0.007076,30.400005,0.353998,0.002683,1.083413,30.350242,0.001206,0.000465,3.532525,0.003118,3.485489,0.862987,2.622111,0.022493,0.001297,0.000075,0.055969,0.000063,0.000029,0.319926,0.169130,0.009522,0.011496,1.281332,0.000203,0.008601,0.000117,0.000080,5.639654,20.142046,20.141934,16.617666,6.177982,1.976872,10.283667,0.146077,0.020083,4.654166
xpu,TrOCRForCausalLM,32,13.497327,13.350495,1.133305,0.323986,0.087954,0.084924,0.289164,0.024483,12.151359,0.588495,0.144927,0.010650,0.000053,0.001235,0.000031,11.499844,0.364517,9.761391,1.706311,0.021191,0.038058,1.427953,1.039428,0.002969,8.053349,8.026250,0.209983,0.927936,0.005312,0.000344,0.000052,0.008737,0.000031,0.000015,0.124320,0.468498,0.002636,0.003154,0.059629,0.000108,0.002482,0.000061,0.000046,1.158198,5.113020,5.112965,3.655199,1.611814,0.737938,1.946796,0.087568,1.455710,1.428454,0.007439,0.141254,0.000188,1.595790,0,0,0,0
xpu,BlenderbotSmallForConditionalGeneration,128,21.946228,21.700671,1.949998,0.491544,0.150430,0.149120,0.483201,0.038172,19.647984,0.782514,0.146397,0.011799,0.000047,0.001684,0.000032,18.767602,0.627229,16.062273,2.086353,0.035540,0.076068,1.720391,1.094457,0.006622,13.972925,13.932839,0.429444,1.938370,0.010437,0.000660,0.000047,0.014802,0.000031,0.000015,0.395334,0.675083,0.005383,0.006278,0.315228,0.000106,0.004585,0.000069,0.000043,2.365497,8.022205,8.022148,6.699175,2.878826,1.370924,3.644575,0.160397,1.320138,1.274873,0.011083,0.235823,0.000678,2.379114,0,0,0,0
xpu,DistilBertForQuestionAnswering,512,10.193079,10.084637,0.775537,0.222303,0.048878,0.047696,0.180698,0.012987,9.267468,0.592255,0.146948,0.006923,0.000048,0.000557,0.000030,8.637024,0.211477,7.737262,1.727942,0.010859,0.037627,1.288662,1.096130,0.002590,6.008176,5.986983,0.148254,0.652671,0.004455,0.000256,0.000061,0.005485,0.000029,0.000014,0.161624,0.246929,0.001727,0.002244,0.042527,0.000109,0.001584,0.000054,0.000040,0.864074,3.998436,3.998382,2.444835,0.846085,0.425588,1.547367,0.045847,1.552097,1.536366,0.007421,0.105010,0.000273,1.481493,0,0,0,0
xpu,Qwen/Qwen3-0.6B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
xpu,MBartForCausalLM,4,11.117134,10.961043,1.131776,0.267934,0.083040,0.083784,0.296380,0.022558,9.764694,0.588177,0.142487,0.008566,0.000051,0.001005,0.000029,9.116393,0.304125,7.617615,1.559281,0.016322,0.036481,1.297129,1.030863,0.002990,6.056751,6.030521,0.199827,0.669412,0.004860,0.000356,0.000046,0.006863,0.000029,0.000014,0.121365,0.241643,0.002249,0.002519,0.057739,0.000108,0.002238,0.000064,0.000043,1.077549,3.573917,3.573847,3.153411,1.499264,0.740578,1.562241,0.082906,0.418748,0.393352,0.003221,0.151337,0.000284,0.327209,0,0,0,0
xpu,BartForCausalLM,4,11.017810,10.860403,1.121517,0.265885,0.082117,0.083853,0.294139,0.022540,9.674696,0.589144,0.146326,0.008527,0.000051,0.000985,0.000029,9.026494,0.456839,7.387923,1.620083,0.015977,0.034427,1.361958,1.093331,0.002876,5.766361,5.740447,0.195786,0.659631,0.005015,0.000332,0.000049,0.006766,0.000028,0.000014,0.119034,0.240278,0.002338,0.002872,0.055309,0.000103,0.002172,0.000058,0.000041,1.074157,3.311069,3.311012,3.131356,1.470746,0.717618,1.569035,0.082716,0.177817,0.152776,0.002583,0.152343,0.000182,0,0,0,0,0
xpu,DistillGPT2,16,10.475114,2.109431,2.610415,0.511102,0.198482,0.144969,0.596163,8.125681,0.016609,7.542331,0.589056,0.146473,0.009519,0.000138,0.000851,0.000109,5.724331,0.162340,5.060976,0.575222,0.006763,0.018470,0.115115,0.001966,4.484441,0.221011,0.003039,1.087237,4.475890,0.094692,0.316035,0.002115,0.000156,0.000052,0.002837,0.000025,0.000013,0.041593,0.124747,0.001111,0.001369,0.025866,0.000104,0.000971,0.000051,0.000041,0.812541,3.007929,3.007875,1.466517,0.613874,0.309212,0.814981,0.033273,1.541656,1.527297,0.006910,1.260323,0.000335,0.000132,0.001036
xpu,MobileBertForMaskedLM,128,40.552084,39.866546,4.669369,0.961090,0.362864,0.473260,1.573085,0.095701,34.864549,0.868292,0.146433,0.024575,0.000053,0.004045,0.000036,33.705315,1.415550,27.941972,3.278221,0.394455,0.142711,2.407548,1.031247,0.003314,24.657307,24.579598,0.811290,4.400609,0.021788,0.001222,0.000058,0.038251,0.000038,0.000015,0.776744,2.303105,0.011169,0.012966,0.258523,0.000123,0.009723,0.000082,0.000047,4.739565,12.016155,12.016086,10.815144,3.728362,1.263622,6.674963,0.364026,1.195862,1.089032,0.015400,0.660923,0.000565,3.802833,0,0,0,0
xpu,XGLMForCausalLM,8,23.286638,23.027630,2.169708,0.598591,0.198877,0.173236,0.538064,0.048984,20.737615,0.789247,0.144711,0.016841,0.000053,0.002472,0.000034,19.833654,0.752570,16.724462,1.124366,0.044984,0.079618,0.724125,0.007880,15.596152,15.298710,1.035051,0.461173,2.218072,0.010724,0.000686,0.000046,0.017100,0.000031,0.000014,0.523154,0.939188,0.006124,0.007131,0.137053,0.000124,0.005229,0.000079,0.000042,2.615905,7.731463,7.731407,7.482651,3.134161,1.557638,4.171207,0.161166,0.246134,0.204450,0.006013,0.248553,0.000370,0.923198,0,0,0,0
xpu,MBartForConditionalGeneration,4,28.944411,28.604722,2.911399,0.878625,0.210829,0.220614,0.698352,0.056051,25.542759,0.585857,0.142328,0.016015,0.000049,0.002581,0.000033,24.814207,0.918389,20.855322,2.622175,0.051049,0.108543,1.947433,1.028764,0.009967,18.229176,18.172638,0.636067,2.893267,0.016209,0.000940,0.000055,0.023460,0.000035,0.000015,0.595360,1.001355,0.008063,0.009622,0.469281,0.000110,0.006949,0.000069,0.000041,3.685576,9.585837,9.585775,9.393937,4.023882,2.079017,5.126070,0.222381,0.188270,0.123863,0.007856,0.326876,0.000837,1.200544,0,0,0,0
xpu,ElectraForCausalLM,32,16.666891,16.477214,1.387194,0.360171,0.088737,0.090274,0.349742,0.022824,15.017843,0.795388,0.149684,0.008800,0.000048,0.000943,0.000028,14.160453,0.388032,12.499849,1.765492,0.021226,0.047274,1.474959,1.095259,0.004498,10.732433,10.702304,0.273918,1.174723,0.006777,0.000412,0.000048,0.010182,0.000031,0.000014,0.269973,0.466521,0.003315,0.004068,0.078135,0.000106,0.002930,0.000060,0.000041,1.891271,6.771106,6.771052,4.411634,1.625921,0.791238,2.689402,0.087208,2.357405,2.329010,0.008940,0.184546,0.000313,1.549343,0,0,0,0
