dev,name,batch_size,_compile.compile_inner,compile_attempt_0,bytecode_tracing,variable_builder_call,compile_attempt_1,create_proxy,wrap_to_fake_tensor_and_record,build_guards,gc,get_fake_value,insert_deferred_runtime_asserts,OutputGraph.call_user_compiler,inductor_import,inductor_codecache_torch_key,_recursive_pre_grad_passes,pass.pre_grad_passes.group_batch_fusion_passes,pass.pre_grad_passes.efficient_conv_bn_eval_pass,pass.pre_grad_passes.apply_gumbel_max_trick_pass,create_aot_dispatcher_function,aot_collect_metadata,compile_fx.<locals>.fw_compiler_base,_recursive_joint_graph_passes,pass.joint_graph_passes.remove_noop_ops,pass.joint_graph_passes.constant_fold_uniform_value,pass.joint_graph_passes.pass_pattern_0,pass.joint_graph_passes.pass_pattern_1,compile_fx_inner,fx_codegen_and_compile,CacheBase.get_system.triton_key,additional_fake_tensor_prop,_recursive_post_grad_passes,pass.post_grad_passes.reorder_for_locality,pass.post_grad_passes.remove_profiler_ops,pass.post_grad_passes.post_grad_custom_pre_pass,pass.post_grad_passes.remove_noop_ops,pass.post_grad_passes.remove_assert_ops,pass.post_grad_passes.pass_pattern_0,pass.post_grad_passes.pass_pattern_1,pass.post_grad_passes.pass_pattern_2,pass.post_grad_passes.stable_sort,pass.post_grad_passes.move_constructors_to_cuda,pass.post_grad_passes.reinplace_inplaceable_ops,pass.post_grad_passes.decompose_triton_kernel_wrapper_functional,pass.post_grad_passes.decompose_auto_functionalized,pass.post_grad_passes.decompose_scan_to_while_loop,pass.post_grad_passes.decompose_map_to_while_loop,GraphLowering.run,GraphLowering.compile_to_fn,GraphLowering.compile_to_module,GraphLowering.codegen,Scheduler.__init__,Scheduler.fused_nodes,Scheduler.codegen,PythonWrapperCodegen.generate,PyCodeCache.load_by_key_path,compile_file,async_compile.wait,TritonBundler.collect,aot_trace_joint_graph,min_cut_rematerialization_partition,CachingAutotuner.benchmark_all_configs,compile_attempt_2,pgo.dynamic_whitelist,AOTAutogradCache.inductor_load,TritonBundler.read_and_emit,TritonBundler.load_cached_static_autotuners,StaticAutotunerFuture.warm_precompile,backward._backward_impl,compile_fx.<locals>.bw_compiler
xpu,hf_T5,8,33.822557,2.006079,4.013167,0.653579,31.475418,0.310134,0.130498,0.316330,0.002343,1.241873,0.040282,29.320812,0.630038,0.182249,1.119050,0.017037,0.000065,0.002291,0.000037,27.434318,0.705064,4.614074,1.928805,0.065916,0.143656,1.112069,0.003070,1.656261,18.080372,33.775615,33.717169,1.478674,2.167841,0.001398,0.000082,0.029841,0.000072,0.000031,0.561177,0.010092,0.009541,0.012807,0.462464,0.000227,0.009814,0.000153,0.000090,5.314310,23.834621,23.834487,14.279017,7.110759,5.020176,6.787505,0.344853,9.549571,9.464828,0.035295,4.941948,15.943755,15.696355,0,0,0,0,0,0,0,0
xpu,hf_Bart,4,14.679323,11.179601,1.450254,0.713521,3.028261,0.045805,0.352953,0.426612,0.017226,0.240534,0.013615,12.527315,0.591259,0.147360,1.103895,0.010400,0.000302,0.000854,0.000254,10.748164,0.185295,8.240850,0.973667,0.011770,0.032068,0.671827,0.003976,13.576848,13.557816,0.214107,0.330460,0.000374,0.000746,0.000420,0.006668,0.000312,0.000200,0.113542,0.006239,0.002296,0.002724,0.055560,0.001130,0.002631,0.000633,0.000559,1.227671,11.389685,11.388965,3.631601,1.591236,0.717959,1.938472,0.084332,7.747776,1.027112,6.684031,0.026640,4.134087,0.801100,0.519853,5.579158,5.520305,0,0,0,0,0,0
xpu,phlippe_densenet,128,28.298016,1.660694,2.882455,0.928648,25.522822,0.142919,0.278358,1.093276,0.002316,0.725177,0.025016,24.153562,0.716354,0.147910,1.122467,0.010028,0.000046,0.002154,0.000034,22.124192,0.491876,2.892037,0.968339,0.023282,0.109861,0.604304,0.029071,1.428950,15.963930,28.259524,28.211139,1.022388,0.884807,0.001150,0.000076,0.019910,0.000059,0.000035,0.359239,0.015679,0.007504,0.009318,0.191246,0.000202,0.007491,0.000139,0.000082,5.342026,20.046171,20.046037,18.951259,7.856045,2.787433,10.522398,0.538641,1.084467,0.990783,0.108849,15.829970,12.470578,12.296705,0,0,0,0,0,0,0,0
xpu,fastNLP_Bert,6,25.122134,20.942443,1.729259,0.556674,3.759022,0.088645,0.114316,0.393037,0.008925,0.356223,0.027906,22.754866,0.712666,0.146226,1.112697,0.012277,0.000175,0.001332,0.000144,21.930026,0.543389,11.545180,4.215863,0.042347,0.099914,3.410420,0.014087,22.854436,22.802790,0.757477,1.456607,0.000240,0.001287,0.000235,0.017372,0.000197,0.000109,0.356669,0.021913,0.007584,0.009533,0.509498,0.000652,0.007583,0.000394,0.000310,3.638260,16.205676,16.205276,13.310075,6.364287,3.506979,6.623259,0.288434,2.887678,1.052648,1.756794,0.018463,3.172910,3.877346,1.504499,11.883049,11.689682,0,0,0,0,0,0
xpu,resnet50,32,23.852687,1.246146,2.371914,0.994574,22.277052,0.136023,0.277134,0.310870,0.003067,0.401130,0.023385,21.010389,0.716569,0.142489,1.047108,0.010102,0.000054,0.002187,0.000034,19.064828,0.337856,2.891686,0.412902,0.023231,0.115430,0.031561,0.029836,1.285955,13.397376,25.289154,25.239117,0.832563,0.912269,0.001102,0.000099,0.018779,0.000073,0.000029,0.366949,0.015179,0.007770,0.010101,0.200368,0.000232,0.007550,0.000141,0.000082,5.345572,17.301565,17.301430,15.908753,6.249253,2.447674,9.136690,0.487911,1.385464,1.307705,0.059219,9.213672,12.054352,11.892851,0,0,0,0,0,0,0,0
xpu,mnasnet1_0,32,23.971779,1.339037,2.436300,1.013422,22.296697,0.128494,0.269029,0.318267,0.002227,0.509737,0.023088,21.059946,0.710077,0.142102,1.033426,0.008739,0.000046,0.002047,0.000034,19.135777,0.373867,2.629624,0.384995,0.020026,0.104139,0.028079,0.027849,1.084086,14.317390,31.385151,31.032577,0.856107,0.876900,0.001063,0.000080,0.018911,0.000068,0.000031,0.352312,0.013922,0.007242,0.009454,0.192362,0.000228,0.007420,0.000142,0.000081,5.307260,23.018047,23.017915,21.247941,7.530861,2.348697,13.100815,0.581973,1.759924,1.665888,0.123871,18.449537,17.232452,17.068802,0,0,0,0,0,0,0,0
xpu,phlippe_resnet,128,11.640954,0.547539,0.927780,0.377156,10.876765,0.052632,0.109732,0.205191,0.002282,0.159984,0.010049,10.408202,0.876769,0.147540,1.118935,0.006363,0.000046,0.000877,0.000035,8.327504,0.125262,0.935638,0.899349,0.009072,0.042325,0.653087,0.010882,0.529760,5.692349,10.815498,10.796818,0.299511,0.331619,0.000442,0.000076,0.006501,0.000053,0.000028,0.130797,0.005713,0.002559,0.002893,0.069516,0.000166,0.002547,0.000098,0.000078,1.793514,8.042210,8.042097,6.590834,2.909813,1.112365,3.486722,0.179968,1.447456,1.413412,0.032748,5.956500,5.184721,5.123754,0,0,0,0,0,0,0,0
xpu,hf_Bert,4,20.445657,1.353868,2.815478,0.746237,18.779929,0.159123,0.196566,0.295389,0.003573,0.830963,0.021596,17.185661,0.589800,0.148285,1.100979,0.008619,0.000049,0.000965,0.000029,15.356477,0.376321,3.002463,2.794207,0.046542,0.183586,1.734955,0.014754,1.317808,7.520552,18.309209,18.265141,0.739026,1.479442,0.001000,0.000088,0.018649,0.000062,0.000029,0.404667,0.031491,0.007227,0.008705,0.184696,0.000220,0.007244,0.000132,0.000084,3.524196,11.869675,11.869545,11.323123,5.148597,2.843871,5.863352,0.282057,0.541711,0.476697,0.015407,2.501700,10.971212,10.789599,0,0,0,0,0,0,0,0
xpu,functorch_dp_cifar10,64,11.671013,0.385810,0.643796,0.250400,11.093812,0.037434,0.066967,0.179775,0.002953,0.124444,0.007267,10.758883,0.718991,0.149020,1.107295,0.005491,0.000047,0.000282,0.000033,8.874232,0.114763,1.412322,0.561077,0.022222,0.050969,0.267925,0.010138,0.623360,5.986838,17.799504,17.777769,0.428448,0.418391,0.000578,0.000076,0.008079,0.000055,0.000029,0.153922,0.005329,0.003396,0.004130,0.091088,0.000221,0.003322,0.000102,0.000077,2.053758,14.424487,14.424374,9.211919,4.795756,2.639401,4.243022,0.160472,5.207745,5.174093,0.063723,10.793295,11.915955,11.813346,0,0,0,0,0,0,0,0
xpu,timm_efficientnet,32,29.809044,1.689942,3.155454,1.275835,27.723138,0.170934,0.315122,0.373298,0.002511,0.610880,0.028157,26.098654,0.753716,0.150743,1.098007,0.010568,0.000057,0.002260,0.000040,24.040741,0.463119,3.399640,0.434513,0.027948,0.120671,0.044039,0.034285,1.783076,17.489484,46.177223,46.114110,1.271753,1.553368,0.001406,0.000084,0.029193,0.000070,0.000030,0.510370,0.020297,0.009528,0.012118,0.253684,0.000210,0.009779,0.000146,0.000088,6.902624,35.107262,35.107123,28.455003,10.165140,3.863690,17.485143,0.757569,6.639978,6.499710,0.173157,26.663741,28.955926,28.688955,0,0,0,0,0,0,0,0
xpu,Background_Matting,4,28.585702,1.175676,2.352707,0.851274,27.063796,0.325511,0.280044,0.327914,0.001082,0.360970,0.023963,25.735368,0.716432,0.148709,1.106027,0.009729,0.000051,0.002050,0.000035,23.732145,0.306061,4.169811,0.648659,0.025910,0.180972,0.159127,0.047702,1.691003,16.379014,50.209210,50.153326,0.943788,1.038812,0.001237,0.000077,0.019459,0.000067,0.000030,0.393812,0.027366,0.008659,0.010478,0.230773,0.000219,0.009127,0.000148,0.000084,6.737040,40.433509,40.433365,34.618430,13.230206,7.622932,19.745645,1.608540,5.806304,5.694220,0.113743,19.907343,34.063789,33.831334,0,0,0,0,0,0,0,0
xpu,functorch_maml_omniglot,1,4.858068,0.192589,0.247998,0.108646,4.514308,0.008968,0.021054,0.142685,0.002870,0.064566,0.002608,4.400662,0.701663,0.145105,1.103032,0.004746,0.000049,0.000261,0.000037,2.562456,0.046691,0.261593,0.344611,0.001358,0.007497,0.014897,0.001828,0.061458,1.815440,5.647409,5.643730,0.087630,0.067432,0.000125,0.000073,0.001048,0.000043,0.000028,0.016655,0.000700,0.000461,0.000592,0.011366,0.000159,0.000520,0.000093,0.000078,0.491781,4.905051,4.904945,1.882684,0.906147,0.389508,0.937389,0.034427,3.020006,3.005228,0.010237,0.834758,3.846356,3.832389,0,0,0,0,0,0,0,0
xpu,pytorch_stargan,16,12.562241,0.478265,0.803180,0.291003,11.889424,0.037787,0.083110,0.184276,0.002411,0.207670,0.007750,11.481375,0.714445,0.143614,1.039495,0.006155,0.000047,0.000296,0.000031,9.657753,0.351279,1.164103,0.477494,0.022483,0.045860,0.193488,0.010065,0.607721,6.894367,14.311772,14.292628,0.313650,0.331435,0.000470,0.000084,0.007590,0.000051,0.000028,0.114472,0.004147,0.002822,0.003305,0.076634,0.000184,0.002676,0.000100,0.000082,1.991561,11.252887,11.252775,7.097003,3.577807,1.443050,3.371420,0.135128,4.152303,4.121989,0.057811,11.381302,7.485047,7.418024,0,0,0,0,0,0,0,0
xpu,resnext50_32x4d,8,23.614181,1.207715,2.335009,0.838551,22.074828,0.136643,0.278949,0.312738,0.002667,0.522118,0.023368,20.808543,0.713614,0.143030,1.038022,0.009601,0.000047,0.002144,0.000034,18.876943,0.309690,2.825991,0.397477,0.021692,0.112454,0.030197,0.028859,1.526581,13.446506,25.185931,25.138541,0.811593,0.890171,0.001109,0.000083,0.018505,0.000061,0.000029,0.368466,0.015055,0.007436,0.009428,0.190363,0.000204,0.007257,0.000130,0.000081,4.450031,18.182974,18.182846,16.744877,6.782551,2.109618,9.442810,0.484636,1.430980,1.349409,0.057500,9.074885,11.901106,11.740383,0,0,0,0,0,0,0,0
xpu,hf_T5_base,8,57.142532,4.013271,7.781465,1.569911,52.578789,0.584653,0.569079,0.506721,0.003186,1.947583,0.072144,48.580777,0.583080,0.145194,1.108897,0.023644,0.000053,0.003717,0.000039,46.660318,1.257633,8.480370,3.684507,0.128687,0.276382,2.258562,0.005242,3.684853,28.696800,54.459952,53.360023,1.976703,5.023114,0.002578,0.000080,0.058834,0.000076,0.000029,1.144301,0.019527,0.019216,0.025274,1.599481,0.000223,0.019670,0.000178,0.000084,8.888831,35.779541,35.779391,28.036802,14.827065,9.650004,12.380036,0.759916,7.733698,7.572458,0.030716,6.395342,26.245115,25.764929,0,0,0,0,0,0,0,0
xpu,mobilenet_v2,96,25.675857,1.468191,2.617309,0.902602,23.840048,0.136355,0.274435,0.346611,0.002481,0.540437,0.022782,22.546553,0.710341,0.146404,1.110812,0.008951,0.000050,0.002055,0.000034,20.544424,0.451394,2.794179,0.410323,0.021592,0.111328,0.032703,0.028322,1.492423,14.994827,34.891458,34.839022,0.995063,0.992800,0.001175,0.000079,0.020693,0.000061,0.000033,0.412733,0.016175,0.007747,0.009146,0.209713,0.000205,0.007996,0.000145,0.000082,5.771066,26.052294,26.052157,22.512643,9.084843,3.549639,12.813354,0.577433,3.528442,3.430875,0.128263,20.246117,20.102708,19.897634,0,0,0,0,0,0,0,0
xpu,densenet121,4,65.704932,3.593758,6.187138,2.063168,61.491895,0.324171,0.807375,0.581133,0.002804,1.751360,0.056569,58.632928,0.714161,0.149761,1.114487,0.018709,0.000056,0.005112,0.000043,56.421451,1.080567,8.285178,1.489309,0.074707,0.292479,0.372906,0.067492,3.282090,41.338093,83.176295,81.070013,3.316516,2.918432,0.002603,0.000090,0.062161,0.000068,0.000028,0.885754,0.063055,0.019380,0.025291,1.138696,0.000235,0.020241,0.000172,0.000086,13.878528,58.691487,58.691321,57.538422,28.384982,11.984639,27.656325,1.417263,1.129502,0.898383,0.259168,37.519770,42.320723,41.840103,0,0,0,0,0,0,0,0
xpu,hf_Bert_large,4,35.284676,2.236814,4.485434,1.507070,32.569813,0.285964,0.345826,0.456498,0.002037,0.893012,0.037794,30.121524,0.589299,0.146086,1.100486,0.012445,0.000052,0.001756,0.000031,28.189383,0.659101,5.928150,3.939777,0.087766,0.264981,2.442845,0.027875,2.249901,14.774434,35.310928,35.223370,1.406763,3.538276,0.001835,0.000095,0.036348,0.000073,0.000031,0.798272,0.050941,0.013720,0.017138,0.363787,0.000231,0.013767,0.000158,0.000089,7.494112,21.576135,21.575974,21.370388,9.658040,5.639474,11.020438,0.635459,0.199137,0.078547,0.015876,2.736336,20.878719,20.537859,0,0,0,0,0,0,0,0
xpu,LearningToPaint,96,12.868263,0.550896,0.924609,0.359163,12.111614,0.054648,0.114157,0.194655,0.002281,0.185173,0.009698,11.649486,0.707330,0.146141,1.094810,0.006760,0.000049,0.000948,0.000033,9.759434,0.147167,0.997427,0.786911,0.008861,0.044515,0.328075,0.011914,0.353084,7.322495,13.400662,13.381944,0.338602,0.363031,0.000480,0.000077,0.007309,0.000054,0.000029,0.145201,0.006141,0.002908,0.003485,0.075549,0.000196,0.002875,0.000099,0.000080,2.575182,9.745491,9.745371,6.369721,2.427368,0.992372,3.736087,0.191300,3.371536,3.334493,0.037328,6.421724,6.141330,6.078798,0,0,0,0,0,0,0,0
xpu,pytorch_unet,1,14.946018,0.735197,1.168789,0.408400,13.987520,0.056902,0.118311,0.211146,0.002616,0.337270,0.010976,13.459659,0.876172,0.145496,1.123711,0.006574,0.000051,0.000867,0.000032,11.369392,0.226323,1.333447,0.274297,0.010316,0.049943,0.017306,0.012117,0.581296,8.780999,17.713831,17.692130,0.482358,0.405011,0.000616,0.000081,0.009378,0.000061,0.000030,0.154535,0.007447,0.003243,0.003997,0.085731,0.000202,0.003416,0.000101,0.000079,2.517867,13.764874,13.764752,12.236559,4.313730,1.153115,7.684281,0.222375,1.522015,1.470145,0.091624,16.666145,9.006423,8.933497,0,0,0,0,0,0,0,0
xpu,timm_nfnet,128,28.659070,2.094115,3.519557,0.940214,26.216329,0.239526,0.261920,0.327467,0.002847,1.201736,0.032144,24.646921,0.728542,0.147370,1.114742,0.012580,0.000050,0.002849,0.000036,22.635007,0.545578,3.686970,0.874338,0.038354,0.132820,0.369436,0.053833,2.225245,14.805541,35.836622,35.775937,1.218847,1.231523,0.001418,0.000082,0.023899,0.000062,0.000029,0.526192,0.011865,0.009308,0.010565,0.254434,0.000180,0.009801,0.000131,0.000086,6.348503,25.840097,25.839959,24.648721,9.907567,4.530207,14.086330,0.602699,1.183194,1.083531,0.109694,21.434128,21.764090,21.032224,0,0,0,0,0,0,0,0
xpu,shufflenet_v2_x1_0,128,28.034877,1.335380,2.564443,0.911306,26.337271,0.166670,0.296100,0.340848,0.002854,0.423857,0.028342,24.957718,0.714967,0.143818,1.127828,0.011173,0.000050,0.002485,0.000035,22.919728,0.341988,3.056491,0.496107,0.028896,0.123225,0.092895,0.031116,1.606908,16.990058,51.316517,50.799687,0.917161,0.995933,0.001232,0.000080,0.023316,0.000061,0.000029,0.397649,0.016366,0.008079,0.009509,0.217829,0.000195,0.008306,0.000139,0.000082,5.970840,41.753821,41.753688,30.730087,13.094649,4.419719,16.984275,0.611679,11.014053,10.915110,0.166809,28.976926,34.537270,34.327562,0,0,0,0,0,0,0,0
xpu,hf_BigBird,2,48.823716,41.467167,1.978428,0.711669,6.596853,0.105140,0.208779,0.700441,0.017821,0.483235,0.029790,45.558268,0.584699,0.146971,1.097585,0.016151,0.000469,0.001597,0.000454,43.734107,0.390451,1.713330,2.123973,0.023220,0.058024,1.495104,0.005340,0.648825,38.596868,46.883387,46.851163,0.247146,0.460356,0.000883,0.000451,0.007711,0.000334,0.000214,0.134556,0.008509,0.002579,0.003087,0.156495,0.001181,0.002945,0.000705,0.000597,2.146085,43.332738,43.332002,31.914732,3.071594,0.659916,28.727581,0.097300,11.440589,1.340010,5.988021,0.036425,6.801717,0.000059,11.639388,0.002796,0.000211,8.404402,8.292656,0.001046,0.009333,0
xpu,mobilenet_v3_large,32,24.926579,1.582036,2.897979,1.148273,22.976490,0.143439,0.501039,0.347351,0.003455,0.645401,0.024818,21.508965,0.722805,0.143173,1.035196,0.009981,0.000055,0.002070,0.000037,19.564907,0.536832,2.916191,0.401453,0.021494,0.110522,0.038456,0.024829,1.411368,13.901059,37.589763,37.536218,1.128905,1.290516,0.001193,0.000079,0.022195,0.000077,0.000030,0.411876,0.016530,0.008071,0.010173,0.215494,0.000224,0.008278,0.000144,0.000083,6.080782,27.879264,27.879130,24.865357,9.414089,4.240878,14.567227,0.844999,3.001315,2.897889,0.177294,27.665886,23.900104,23.689777,0,0,0,0,0,0,0,0
xpu,soft_actor_critic,256,5.013785,0.800960,0.240502,0.092344,4.070236,0.007915,0.014175,0.131321,0.005450,0.042179,0.002811,4.569787,0.710097,0.144956,1.039559,0.005009,0.000077,0.000167,0.000061,2.786977,0.036395,0.108087,0.887523,0.001060,0.003872,0.547703,0.000499,0.031139,1.700784,3.062393,3.059534,0.022896,0.039249,0.000159,0.000123,0.000805,0.000081,0.000053,0.006202,0.001190,0.000271,0.000364,0.003873,0.000269,0.000388,0.000174,0.000150,0.094613,2.830760,2.830584,0.324868,0.131819,0.072347,0.177834,0.011021,2.503500,0.955924,1.537405,0.005226,1.014811,1.371585,1.362315,0,0,0,0,0,0,0
