datatype: torch.float16 ; i: 0
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
at::native::xpu::SegmentedGroupRadixSelectPairsFunct...         0.00%       0.000us         0.00%       0.000us       0.000us     719.200us         1.73%     719.200us     719.200us             1  
at::native::xpu::VectorizedElementwiseKernel<8, at::...         0.00%       0.000us         0.00%       0.000us       0.000us     513.920us         1.23%     513.920us       3.984us           129  
at::native::xpu::VectorizedElementwiseKernel<8, at::...         0.00%       0.000us         0.00%       0.000us       0.000us     482.720us         1.16%     482.720us       7.542us            64  
at::native::xpu::ElementwiseGlobalRangeKernel<at::na...         0.00%       0.000us         0.00%       0.000us       0.000us     379.840us         0.91%     379.840us       5.844us            65  
at::native::xpu::ElementwiseGlobalRangeKernel<at::na...         0.00%       0.000us         0.00%       0.000us       0.000us     346.720us         0.83%     346.720us       5.417us            64  
                     aten::scaled_dot_product_attention         0.01%     246.294us        23.15%     587.600ms      18.362ms       0.000us         0.00%     328.320us      10.260us            32  
aten::_scaled_dot_product_fused_attention_overrideab...        23.07%     585.602ms        23.14%     587.353ms      18.355ms     328.320us         0.79%     328.320us      10.260us            32  
                                             micro_sdpa         0.00%       0.000us         0.00%       0.000us       0.000us     328.320us         0.79%     328.320us      10.260us            32  
at::native::xpu::ElementwiseGlobalRangeKernel<at::na...         0.00%       0.000us         0.00%       0.000us       0.000us     297.120us         0.71%     297.120us       4.642us            64  
                                              aten::pow         3.27%      83.051ms         4.07%     103.313ms       1.589ms     264.320us         0.63%     264.320us       4.066us            65  
at::native::xpu::VectorizedElementwiseKernel<4, at::...         0.00%       0.000us         0.00%       0.000us       0.000us     264.320us         0.63%     264.320us       4.066us            65  
                                             aten::silu         0.58%      14.701ms         0.68%      17.318ms     541.188us     258.240us         0.62%     258.240us       8.070us            32  
at::native::xpu::VectorizedElementwiseKernel<8, at::...         0.00%       0.000us         0.00%       0.000us       0.000us     258.240us         0.62%     258.240us       8.070us            32  
                                              aten::neg         2.95%      74.797ms         3.58%      90.929ms       1.421ms     258.080us         0.62%     258.080us       4.033us            64  
at::native::xpu::ElementwiseGlobalRangeKernel<at::na...         0.00%       0.000us         0.00%       0.000us       0.000us     258.080us         0.62%     258.080us       4.033us            64  
at::native::xpu::VectorizedElementwiseKernel<8, at::...         0.00%       0.000us         0.00%       0.000us       0.000us     238.560us         0.57%     238.560us       7.455us            32  
at::native::xpu::VectorizedElementwiseKernel<4, at::...         0.00%       0.000us         0.00%       0.000us       0.000us     218.080us         0.52%     218.080us       3.355us            65  
                                            aten::rsqrt         1.33%      33.744ms         1.69%      42.915ms     660.231us     213.440us         0.51%     213.440us       3.284us            65  
at::native::xpu::VectorizedElementwiseKernel<4, at::...         0.00%       0.000us         0.00%       0.000us       0.000us     213.440us         0.51%     213.440us       3.284us            65  
                                             aten::sort         0.25%       6.430ms         0.40%      10.260ms      10.260ms     184.160us         0.44%     187.040us     187.040us             1  
                                      aten::multinomial         0.01%     219.035us        11.59%     294.314ms     294.314ms       0.000us         0.00%     169.600us     169.600us             1  
                                          aten::softmax         0.00%      25.053us         1.46%      37.144ms      18.572ms       0.000us         0.00%     113.920us      56.960us             2  
                                         aten::_softmax         1.17%      29.782ms         1.46%      37.119ms      18.560ms     113.920us         0.27%     113.920us      56.960us             2  
at::native::xpu::impl::SoftmaxForwardKernelFunctor<4...         0.00%       0.000us         0.00%       0.000us       0.000us     113.920us         0.27%     113.920us      56.960us             2  
at::native::xpu::SegmentedRadixSortPairsDownsweepFun...         0.00%       0.000us         0.00%       0.000us       0.000us      81.440us         0.20%      81.440us      10.180us             8  
                                             aten::isin         0.01%     208.427us        10.14%     257.423ms     128.712ms       0.000us         0.00%      70.080us      35.040us             2  
at::native::xpu::SegmentedRadixSortPairsUpsweepFunct...         0.00%       0.000us         0.00%       0.000us       0.000us      69.280us         0.17%      69.280us       8.660us             8  
                                              aten::any         2.70%      68.627ms         3.26%      82.795ms      13.799ms      45.920us         0.11%      58.080us       9.680us             6  
                                           aten::argmax         1.65%      41.873ms         2.02%      51.279ms      51.279ms      47.200us         0.11%      47.200us      47.200us             1  
at::native::xpu::ReduceKernel<1, at::native::xpu::Re...         0.00%       0.000us         0.00%       0.000us       0.000us      47.200us         0.11%      47.200us      47.200us             1  
                                            aten::fill_         0.31%       7.996ms         0.57%      14.565ms       1.821ms      41.440us         0.10%      41.440us       5.180us             8  
                                           aten::cumsum         0.29%       7.313ms         0.44%      11.226ms       5.613ms      37.920us         0.09%      37.920us      18.960us             2  
at::native::xpu::SegmentedRadixSortPairsScanFunctor<...         0.00%       0.000us         0.00%       0.000us       0.000us      33.440us         0.08%      33.440us       4.180us             8  
                                      aten::masked_fill         0.00%      70.201us        13.21%     335.247ms     111.749ms       0.000us         0.00%      33.280us      11.093us             3  
at::native::xpu::VectorizedElementwiseKernel<16, at:...         0.00%       0.000us         0.00%       0.000us       0.000us      32.960us         0.08%      32.960us       5.493us             6  
at::native::xpu::VectorizedElementwiseKernel<16, at:...         0.00%       0.000us         0.00%       0.000us       0.000us      32.000us         0.08%      32.000us       8.000us             4  
at::native::xpu::SegmentedGroupRadixSortPairsFunctor...         0.00%       0.000us         0.00%       0.000us       0.000us      31.840us         0.08%      31.840us      31.840us             1  
at::native::xpu::ReduceKernel<1, at::native::xpu::Re...         0.00%       0.000us         0.00%       0.000us       0.000us      30.400us         0.07%      30.400us      10.133us             3  
                                               aten::eq         3.40%      86.213ms         4.49%     113.932ms      22.786ms      29.920us         0.07%      29.920us       5.984us             5  
                                          aten::aminmax         1.11%      28.059ms         1.32%      33.600ms      33.600ms      27.360us         0.07%      27.360us      27.360us             1  
at::native::xpu::ReduceKernel<1, at::native::xpu::Re...         0.00%       0.000us         0.00%       0.000us       0.000us      27.360us         0.07%      27.360us      27.360us             1  
                                              aten::sum         3.31%      84.044ms         3.92%      99.544ms      99.544ms      26.080us         0.06%      26.080us      26.080us             1  
at::native::xpu::ReduceKernel<1, at::native::xpu::Re...         0.00%       0.000us         0.00%       0.000us       0.000us      26.080us         0.06%      26.080us      26.080us             1  
                                      aten::bitwise_and         3.49%      88.697ms         4.49%     113.928ms      56.964ms      25.760us         0.06%      25.760us      12.880us             2  
                                          aten::scatter         0.56%      14.253ms         0.85%      21.592ms      21.592ms      15.840us         0.04%      24.160us      24.160us             1  
                                               aten::lt         0.01%     243.453us         0.04%     917.438us     305.813us      21.440us         0.05%      21.440us       7.147us             3  
                                            aten::clone         0.00%      33.825us         0.02%     609.677us     152.419us       0.000us         0.00%      19.840us       4.960us             4  
at::native::xpu::CatArrayBatchedCopy_contig<at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      18.560us         0.04%      18.560us       6.187us             3  
                                     aten::masked_fill_         8.58%     217.907ms        13.18%     334.650ms     111.550ms      17.920us         0.04%      17.920us       5.973us             3  
at::native::xpu::VectorizedElementwiseKernel<4, at::...         0.00%       0.000us         0.00%       0.000us       0.000us      16.960us         0.04%      16.960us       5.653us             3  
at::native::xpu::UnrolledElementwiseKernel<at::nativ...         0.00%       0.000us         0.00%       0.000us       0.000us      16.640us         0.04%      16.640us       8.320us             2  
at::native::xpu::ScatterGatherElementwiseKernelFunct...         0.00%       0.000us         0.00%       0.000us       0.000us      15.840us         0.04%      15.840us      15.840us             1  
at::native::xpu::SegmentScanKernel<at::native::xpu::...         0.00%       0.000us         0.00%       0.000us       0.000us      15.680us         0.04%      15.680us      15.680us             1  
at::native::xpu::ReduceKernel<2, at::native::xpu::Re...         0.00%       0.000us         0.00%       0.000us       0.000us      15.520us         0.04%      15.520us      15.520us             1  
at::native::xpu::CatArrayBatchedCopy<at::native::xpu...         0.00%       0.000us         0.00%       0.000us       0.000us      14.240us         0.03%      14.240us      14.240us             1  
                                   Memset (0 -> DEVICE)         0.00%       0.000us         0.00%       0.000us       0.000us      14.080us         0.03%      14.080us      14.080us             1  
                                              aten::div         0.67%      17.006ms         0.76%      19.177ms       9.589ms      13.760us         0.03%      13.760us       6.880us             2  
                                      aten::bitwise_not         0.00%      81.391us         0.01%     203.828us     101.914us      13.440us         0.03%      13.440us       6.720us             2  
at::native::xpu::VectorizedElementwiseKernel<16, at:...         0.00%       0.000us         0.00%       0.000us       0.000us      13.440us         0.03%      13.440us       6.720us             2  
at::native::xpu::ElementwiseGlobalRangeKernel<at::na...         0.00%       0.000us         0.00%       0.000us       0.000us      13.280us         0.03%      13.280us       6.640us             2  
at::native::xpu::VectorizedElementwiseKernel<2, at::...         0.00%       0.000us         0.00%       0.000us       0.000us      13.280us         0.03%      13.280us       6.640us             2  
                                           aten::__or__         0.00%      10.344us         0.01%     189.449us      94.725us       0.000us         0.00%      13.280us       6.640us             2  
                                       aten::bitwise_or         0.00%      87.237us         0.01%     179.105us      89.552us      13.280us         0.03%      13.280us       6.640us             2  
at::native::xpu::VectorizedElementwiseKernel<16, at:...         0.00%       0.000us         0.00%       0.000us       0.000us      13.280us         0.03%      13.280us       6.640us             2  
                                          aten::__and__         0.00%       8.935us         2.46%      62.516ms      62.516ms       0.000us         0.00%      13.120us      13.120us             1  
at::native::xpu::UnrolledElementwiseKernel<at::nativ...         0.00%       0.000us         0.00%       0.000us       0.000us      13.120us         0.03%      13.120us      13.120us             1  
at::native::xpu::VectorizedElementwiseKernel<16, at:...         0.00%       0.000us         0.00%       0.000us       0.000us      12.640us         0.03%      12.640us      12.640us             1  
                                              aten::max         3.39%      86.134ms         3.97%     100.663ms     100.663ms      12.640us         0.03%      12.640us      12.640us             1  
at::native::xpu::ReduceKernel<1, at::native::xpu::Re...         0.00%       0.000us         0.00%       0.000us       0.000us      12.640us         0.03%      12.640us      12.640us             1  
at::native::xpu::VectorizedElementwiseKernel<4, at::...         0.00%       0.000us         0.00%       0.000us       0.000us      12.000us         0.03%      12.000us       4.000us             3  
                                              aten::sub         1.95%      49.453ms         2.64%      67.116ms      33.558ms      11.840us         0.03%      11.840us       5.920us             2  
                                    aten::_assert_async         1.59%      40.330ms         2.21%      56.120ms      28.060ms      11.360us         0.03%      11.360us       5.680us             2  
       at::native::xpu::AssertAsyncKernelFunctor1<bool>         0.00%       0.000us         0.00%       0.000us       0.000us      11.360us         0.03%      11.360us       5.680us             2  
                                              aten::sin         0.35%       8.885ms         0.39%       9.970ms       9.970ms      11.360us         0.03%      11.360us      11.360us             1  
at::native::xpu::VectorizedElementwiseKernel<4, at::...         0.00%       0.000us         0.00%       0.000us       0.000us      11.360us         0.03%      11.360us      11.360us             1  
at::native::xpu::VectorizedElementwiseKernel<2, at::...         0.00%       0.000us         0.00%       0.000us       0.000us      11.040us         0.03%      11.040us       5.520us             2  
at::native::xpu::VectorizedElementwiseKernel<2, at::...         0.00%       0.000us         0.00%       0.000us       0.000us      11.040us         0.03%      11.040us       5.520us             2  
                                              aten::bmm         1.27%      32.150ms         1.35%      34.290ms      34.290ms      10.880us         0.03%      10.880us      10.880us             1  
                                             aten::full         0.00%       9.767us         0.00%      85.729us      42.865us       0.000us         0.00%      10.720us       5.360us             2  
at::native::xpu::VectorizedElementwiseKernel<2, at::...         0.00%       0.000us         0.00%       0.000us       0.000us      10.720us         0.03%      10.720us       5.360us             2  
                                              aten::all         0.01%     187.364us         0.01%     253.196us     253.196us      10.240us         0.02%      10.240us      10.240us             1  
at::native::xpu::ReduceKernel<1, at::native::xpu::Re...         0.00%       0.000us         0.00%       0.000us       0.000us      10.240us         0.02%      10.240us      10.240us             1  
at::native::xpu::VectorizedElementwiseKernel<4, at::...         0.00%       0.000us         0.00%       0.000us       0.000us      10.240us         0.02%      10.240us       5.120us             2  
at::native::xpu::SegmentScanKernel<at::native::xpu::...         0.00%       0.000us         0.00%       0.000us       0.000us      10.080us         0.02%      10.080us      10.080us             1  
at::native::xpu::VectorizedElementwiseKernel<4, at::...         0.00%       0.000us         0.00%       0.000us       0.000us       9.600us         0.02%       9.600us       4.800us             2  
at::native::xpu::ElementwiseGlobalRangeKernel<at::na...         0.00%       0.000us         0.00%       0.000us       0.000us       9.600us         0.02%       9.600us       9.600us             1  
                                             aten::item         0.00%      22.415us         0.04%       1.006ms     167.619us       0.000us         0.00%       9.040us       1.507us             6  
                              aten::_local_scalar_dense         0.02%     562.834us         0.04%     983.302us     163.884us       9.040us         0.02%       9.040us       1.507us             6  
                 Memcpy D2M (DEVICE -> MEMORY(Unknown))         0.00%       0.000us         0.00%       0.000us       0.000us       9.040us         0.02%       9.040us       1.507us             6  
                                              aten::cos         0.23%       5.913ms         0.27%       6.935ms       6.935ms       8.960us         0.02%       8.960us       8.960us             1  
at::native::xpu::VectorizedElementwiseKernel<4, at::...         0.00%       0.000us         0.00%       0.000us       0.000us       8.960us         0.02%       8.960us       8.960us             1  
                                        aten::embedding         0.00%      32.942us         0.01%     243.843us     243.843us       0.000us         0.00%       8.640us       8.640us             1  
                                     aten::index_select         0.01%     130.456us         0.01%     202.935us     202.935us       8.640us         0.02%       8.640us       8.640us             1  
at::native::xpu::IndexKernel<at::native::xpu::IndexK...         0.00%       0.000us         0.00%       0.000us       0.000us       8.640us         0.02%       8.640us       8.640us             1  
at::native::xpu::VectorizedElementwiseKernel<4, at::...         0.00%       0.000us         0.00%       0.000us       0.000us       8.640us         0.02%       8.640us       8.640us             1  
at::native::xpu::VectorizedElementwiseKernel<2, at::...         0.00%       0.000us         0.00%       0.000us       0.000us       8.480us         0.02%       8.480us       4.240us             2  
                                     aten::exponential_         0.04%       1.083ms         0.06%       1.454ms       1.454ms       8.480us         0.02%       8.480us       8.480us             1  
at::native::xpu::DistributionElementwiseKernelFuncto...         0.00%       0.000us         0.00%       0.000us       0.000us       8.480us         0.02%       8.480us       8.480us             1  
at::native::xpu::VectorizedElementwiseKernel<2, at::...         0.00%       0.000us         0.00%       0.000us       0.000us       8.320us         0.02%       8.320us       8.320us             1  
                                       aten::is_nonzero         0.00%      18.383us         0.04%     963.222us     192.644us       0.000us         0.00%       6.960us       1.392us             5  
at::native::xpu::SegmentScanKernel<at::native::xpu::...         0.00%       0.000us         0.00%       0.000us       0.000us       6.240us         0.01%       6.240us       6.240us             1  
at::native::xpu::AccumulateCarrierKernelFunctor<at::...         0.00%       0.000us         0.00%       0.000us       0.000us       5.920us         0.01%       5.920us       5.920us             1  
                                               aten::ge         0.00%      44.602us         0.00%      79.530us      79.530us       5.920us         0.01%       5.920us       5.920us             1  
at::native::xpu::VectorizedElementwiseKernel<2, at::...         0.00%       0.000us         0.00%       0.000us       0.000us       5.920us         0.01%       5.920us       5.920us             1  
at::native::xpu::UnrolledElementwiseKernel<at::nativ...         0.00%       0.000us         0.00%       0.000us       0.000us       5.760us         0.01%       5.760us       5.760us             1  
at::native::xpu::VectorizedElementwiseKernel<4, at::...         0.00%       0.000us         0.00%       0.000us       0.000us       5.600us         0.01%       5.600us       5.600us             1  
at::native::xpu::VectorizedElementwiseKernel<2, at::...         0.00%       0.000us         0.00%       0.000us       0.000us       5.440us         0.01%       5.440us       5.440us             1  
                                           aten::arange         0.16%       4.183ms         0.43%      11.027ms       5.513ms       2.720us         0.01%       5.440us       2.720us             2  
at::native::xpu::VectorizedElementwiseKernel<4, at::...         0.00%       0.000us         0.00%       0.000us       0.000us       5.120us         0.01%       5.120us       5.120us             1  
                                    aten::scalar_tensor         0.00%       7.225us         0.00%      66.486us      66.486us       0.000us         0.00%       4.800us       4.800us             1  
                                               aten::le         0.00%      81.535us         0.01%     140.263us     140.263us       4.640us         0.01%       4.640us       4.640us             1  
                                             aten::rsub         0.00%      15.569us         0.00%     123.360us     123.360us       0.000us         0.00%       4.640us       4.640us             1  
at::native::xpu::VectorizedElementwiseKernel<2, at::...         0.00%       0.000us         0.00%       0.000us       0.000us       4.640us         0.01%       4.640us       4.640us             1  
                                         aten::new_ones         0.00%      14.717us         0.00%      78.219us      78.219us       0.000us         0.00%       4.320us       4.320us             1  
                                             aten::ones         0.00%      20.017us         0.01%     274.558us     274.558us       0.000us         0.00%       4.160us       4.160us             1  
at::native::xpu::UnrolledElementwiseKernel<at::nativ...         0.00%       0.000us         0.00%       0.000us       0.000us       3.520us         0.01%       3.520us       3.520us             1  
at::native::xpu::ElementwiseKernelWithIndexFunctor<i...         0.00%       0.000us         0.00%       0.000us       0.000us       2.720us         0.01%       2.720us       2.720us             1  
                 Memcpy M2D (MEMORY(Unknown) -> DEVICE)         0.00%       0.000us         0.00%       0.000us       0.000us       0.800us         0.00%       0.800us       0.400us             2  
                                            aten::empty         0.02%     507.045us         0.02%     507.045us       1.370us       0.000us         0.00%       0.000us       0.000us           370  
                                    aten::empty_strided         0.01%     288.481us         0.01%     288.481us       1.233us       0.000us         0.00%       0.000us       0.000us           234  
                                     urEnqueueUSMMemcpy         0.03%     739.163us         0.03%     873.044us     109.131us       0.000us         0.00%       0.000us       0.000us             8  
                                zeMemGetAllocProperties         0.02%     397.540us         0.02%     397.540us       0.164us       0.000us         0.00%       0.000us       0.000us          2418  
                                       zeEventHostReset         0.00%      75.630us         0.00%      75.630us       0.186us       0.000us         0.00%       0.000us       0.000us           406  
                          zeCommandListAppendMemoryCopy         0.00%     117.393us         0.00%     117.393us      14.674us       0.000us         0.00%       0.000us       0.000us             8  
                                 zeEventHostSynchronize         0.01%     140.102us         0.01%     140.102us      17.513us       0.000us         0.00%       0.000us       0.000us             8  
                                       aten::lift_fresh         0.00%       9.101us         0.00%       9.101us       0.138us       0.000us         0.00%       0.000us       0.000us            66  
                                          aten::detach_         0.00%      45.497us         0.00%      83.507us       1.265us       0.000us         0.00%       0.000us       0.000us            66  
                                                detach_         0.00%      38.010us         0.00%      38.010us       0.576us       0.000us         0.00%       0.000us       0.000us            66  
                                           aten::select         0.00%      46.753us         0.00%      62.620us      15.655us       0.000us         0.00%       0.000us       0.000us             4  
                                       aten::as_strided         0.02%     560.172us         0.02%     560.172us       0.873us       0.000us         0.00%       0.000us       0.000us           642  
                                           aten::detach         0.00%       1.412us         0.00%       6.733us       6.733us       0.000us         0.00%       0.000us       0.000us             1  
                                                 detach         0.00%       5.321us         0.00%       5.321us       5.321us       0.000us         0.00%       0.000us       0.000us             1  
                           zeDeviceGetComputeProperties         0.00%       1.644us         0.00%       1.644us       0.206us       0.000us         0.00%       0.000us       0.000us             8  
                            zeDeviceGetMemoryProperties         0.05%       1.304ms         0.05%       1.304ms      81.476us       0.000us         0.00%       0.000us       0.000us            16  
                             zeDeviceGetCacheProperties         0.00%       1.658us         0.00%       1.658us       0.104us       0.000us         0.00%       0.000us       0.000us            16  
                                         zeModuleCreate        15.93%     404.286ms        15.93%     404.286ms       8.789ms       0.000us         0.00%       0.000us       0.000us            46  
                                  zeModuleGetProperties         0.00%       6.991us         0.00%       6.991us       0.212us       0.000us         0.00%       0.000us       0.000us            33  
                                         zeKernelCreate         0.09%       2.217ms         0.09%       2.217ms      27.042us       0.000us         0.00%       0.000us       0.000us            82  
                                  zeDeviceGetSubDevices         0.00%      12.848us         0.00%      12.848us       0.093us       0.000us         0.00%       0.000us       0.000us           138  
                              zeKernelSetIndirectAccess         0.00%      12.723us         0.00%      12.723us       0.155us       0.000us         0.00%       0.000us       0.000us            82  
                       urEnqueueKernelLaunchWithArgsExp         1.26%      32.010ms         1.65%      41.962ms      30.059us       0.000us         0.00%       0.000us       0.000us          1396  
                                  zeKernelGetProperties         0.00%      48.948us         0.00%      48.948us       0.316us       0.000us         0.00%       0.000us       0.000us           155  
                               zeKernelSetArgumentValue         0.06%       1.460ms         0.06%       1.460ms       0.150us       0.000us         0.00%       0.000us       0.000us          9753  
                                   zeKernelSetGroupSize         0.00%      80.200us         0.00%      80.200us       0.057us       0.000us         0.00%       0.000us       0.000us          1396  
                           zeCommandListCreateImmediate         0.01%     210.396us         0.01%     210.396us     210.396us       0.000us         0.00%       0.000us       0.000us             1  
                        zeCommandListAppendLaunchKernel         0.30%       7.566ms         0.30%       7.566ms       5.420us       0.000us         0.00%       0.000us       0.000us          1396  
                                        aten::unsqueeze         0.01%     186.076us         0.01%     231.835us       1.717us       0.000us         0.00%       0.000us       0.000us           135  
                                             aten::view         0.02%     428.088us         0.02%     428.088us       1.005us       0.000us         0.00%       0.000us       0.000us           426  
                                          zeEventCreate         0.02%     441.296us         0.02%     441.296us       0.442us       0.000us         0.00%       0.000us       0.000us           999  
                                       aten::empty_like         0.00%      55.646us         0.00%     121.820us       3.292us       0.000us         0.00%       0.000us       0.000us            37  
                                            aten::slice         0.01%     323.939us         0.02%     391.420us       2.943us       0.000us         0.00%       0.000us       0.000us           133  
                                          aten::reshape         0.01%     156.045us         0.02%     395.795us       1.522us       0.000us         0.00%       0.000us       0.000us           260  
                                          aten::resize_         0.00%      91.727us         0.00%      91.727us       0.397us       0.000us         0.00%       0.000us       0.000us           231  
                                            aten::alias         0.00%      11.141us         0.00%      11.141us      11.141us       0.000us         0.00%       0.000us       0.000us             1  
                                           aten::expand         0.00%      18.070us         0.00%      19.547us       4.887us       0.000us         0.00%       0.000us       0.000us             4  
                                  zeDeviceGetRootDevice         0.00%      23.832us         0.00%      23.832us       0.062us       0.000us         0.00%       0.000us       0.000us           384  
                                  zeDeviceGetProperties         0.00%      42.098us         0.00%      42.098us       1.238us       0.000us         0.00%       0.000us       0.000us            34  
                            zeDeviceGetModuleProperties         0.00%      11.808us         0.00%      11.808us       0.738us       0.000us         0.00%       0.000us       0.000us            16  
                                        zeKernelGetName         0.00%       3.203us         0.00%       3.203us       0.123us       0.000us         0.00%       0.000us       0.000us            26  
                                        zeKernelDestroy         0.00%       5.003us         0.00%       5.003us       0.625us       0.000us         0.00%       0.000us       0.000us             8  
                                        zeModuleDestroy         0.00%      16.096us         0.00%      16.096us       2.012us       0.000us         0.00%       0.000us       0.000us             8  
                      zeDeviceGetMemoryAccessProperties         0.00%       4.083us         0.00%       4.083us       0.583us       0.000us         0.00%       0.000us       0.000us             7  
                                     aten::_unsafe_view         0.01%     191.768us         0.01%     191.768us       0.849us       0.000us         0.00%       0.000us       0.000us           226  
                                        aten::transpose         0.01%     368.546us         0.03%     771.375us       2.179us       0.000us         0.00%       0.000us       0.000us           354  
                                      aten::result_type         0.00%      31.238us         0.00%      31.238us       0.481us       0.000us         0.00%       0.000us       0.000us            65  
                                                aten::t         0.02%     508.495us         0.04%     992.873us       4.413us       0.000us         0.00%       0.000us       0.000us           225  
                                       urUSMDeviceAlloc         0.01%     198.785us         0.27%       6.878ms       1.376ms       0.000us         0.00%       0.000us       0.000us             5  
                                       zeMemAllocDevice         0.01%     165.580us         0.01%     165.580us      33.116us       0.000us         0.00%       0.000us       0.000us             5  
                            zeContextMakeMemoryResident         0.26%       6.514ms         0.26%       6.514ms     162.844us       0.000us         0.00%       0.000us       0.000us            40  
                                       urEnqueueUSMFill         0.00%      39.884us         0.01%     251.693us     251.693us       0.000us         0.00%       0.000us       0.000us             1  
                          zeCommandListAppendMemoryFill         0.01%     209.268us         0.01%     209.268us     209.268us       0.000us         0.00%       0.000us       0.000us             1  
                                      zeEventPoolCreate         0.00%      97.100us         0.00%      97.100us      32.367us       0.000us         0.00%       0.000us       0.000us             3  
                                     zeEventQueryStatus         0.00%       7.552us         0.00%       7.552us       3.776us       0.000us         0.00%       0.000us       0.000us             2  
                                        aten::new_empty         0.00%       1.811us         0.00%       4.182us       4.182us       0.000us         0.00%       0.000us       0.000us             1  
                                          aten::view_as         0.00%       3.121us         0.00%       8.405us       8.405us       0.000us         0.00%       0.000us       0.000us             1  
                                          aten::squeeze         0.00%      17.957us         0.00%      22.054us      22.054us       0.000us         0.00%       0.000us       0.000us             1  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 2.538s
Self XPU time total: 41.664ms

datatype: torch.float16 ; i: 1
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg      Self XPU    Self XPU %     XPU total  XPU time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                           aten::matmul         0.76%     542.766us        29.87%      21.433ms      94.835us       0.000us         0.00%      31.437ms     139.103us           226  
                                            gemm_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      31.437ms        75.75%      31.437ms     139.103us           226  
                                           aten::linear         0.33%     236.536us        30.84%      22.127ms      98.342us       0.000us         0.00%      31.429ms     139.684us           225  
                                               aten::mm        14.49%      10.395ms        28.21%      20.235ms      89.933us      31.429ms        75.73%      31.429ms     139.684us           225  
                                            aten::copy_         1.98%       1.418ms         8.39%       6.019ms      28.528us       2.148ms         5.17%       2.148ms      10.178us           211  
                                               aten::to         0.21%     153.440us         8.94%       6.414ms      23.322us       0.000us         0.00%       2.099ms       7.634us           275  
                                         aten::_to_copy         0.54%     387.526us         8.73%       6.260ms      31.145us       0.000us         0.00%       2.099ms      10.444us           201  
                                              aten::cat         1.64%       1.179ms         5.78%       4.150ms      31.438us       1.802ms         4.34%       1.802ms      13.655us           132  
at::native::xpu::CatArrayBatchedCopy<at::native::xpu...         0.00%       0.000us         0.00%       0.000us       0.000us       1.774ms         4.27%       1.774ms      13.860us           128  
                                              aten::mul         3.64%       2.614ms        13.72%       9.841ms      33.474us       1.494ms         3.60%       1.494ms       5.081us           294  
