dev,name,batch_size,_compile.compile_inner,compile_attempt_0,bytecode_tracing,variable_builder_call,compile_attempt_1,create_proxy,wrap_to_fake_tensor_and_record,build_guards,gc,get_fake_value,insert_deferred_runtime_asserts,OutputGraph.call_user_compiler,inductor_import,inductor_codecache_torch_key,CacheBase.get_system.triton_key,_recursive_pre_grad_passes,pass.pre_grad_passes.group_batch_fusion_passes,pass.pre_grad_passes.efficient_conv_bn_eval_pass,pass.pre_grad_passes.apply_gumbel_max_trick_pass,create_aot_dispatcher_function,aot_collect_metadata,compile_fx.<locals>.fw_compiler_base,_recursive_joint_graph_passes,pass.joint_graph_passes.remove_noop_ops,pass.joint_graph_passes.constant_fold_uniform_value,pass.joint_graph_passes.pass_pattern_0,pass.joint_graph_passes.pass_pattern_1,compile_fx_inner,fx_codegen_and_compile,additional_fake_tensor_prop,_recursive_post_grad_passes,pass.post_grad_passes.reorder_for_locality,pass.post_grad_passes.remove_profiler_ops,pass.post_grad_passes.post_grad_custom_pre_pass,pass.post_grad_passes.remove_noop_ops,pass.post_grad_passes.remove_assert_ops,pass.post_grad_passes.pass_pattern_0,pass.post_grad_passes.pass_pattern_1,pass.post_grad_passes.pass_pattern_2,pass.post_grad_passes.stable_sort,pass.post_grad_passes.move_constructors_to_cuda,pass.post_grad_passes.reinplace_inplaceable_ops,pass.post_grad_passes.decompose_triton_kernel_wrapper_functional,pass.post_grad_passes.decompose_auto_functionalized,pass.post_grad_passes.decompose_scan_to_while_loop,pass.post_grad_passes.decompose_map_to_while_loop,GraphLowering.run,GraphLowering.compile_to_fn,GraphLowering.compile_to_module,GraphLowering.codegen,Scheduler.__init__,Scheduler.fused_nodes,Scheduler.codegen,PythonWrapperCodegen.generate,PyCodeCache.load_by_key_path,async_compile.precompile,async_compile.wait,TritonBundler.collect,AOTAutogradCache.inductor_load,TritonBundler.read_and_emit,TritonBundler.load_cached_static_autotuners,StaticAutotunerFuture.warm_precompile,aot_trace_joint_graph,min_cut_rematerialization_partition,CachingAutotuner.benchmark_all_configs,backward._backward_impl,compile_fx.<locals>.bw_compiler
xpu,XLNetLMHeadModel,8,47.527433,2.242237,4.426987,1.182781,44.982702,0.281874,0.514680,0.279021,0.001598,1.545854,0.042731,42.636872,0.644247,0.150433,1.084058,0.014805,0.000056,0.001947,0.000032,40.410172,1.204259,7.805954,6.130811,0.093940,0.281874,4.476413,0.280903,4.042651,20.325340,42.957888,42.843949,2.053557,3.323926,0.002586,0.000078,0.016069,0.000061,0.000029,0.265774,0.171394,0.019086,0.023152,1.414417,0.000219,0.017977,0.000148,0.000083,11.123937,23.510969,23.510790,23.164074,9.866382,5.653515,12.558411,0.663699,0.339897,0.213069,0.018520,4.565114,23.092980,22.633991,0,0,0,0,0,0
xpu,RobertaForQuestionAnswering,32,20.326900,1.348985,2.686167,0.697016,18.721153,0.167410,0.183108,0.244046,0.001798,0.519731,0.021151,17.270940,0.589981,0.144305,1.032812,0.009598,0.000052,0.000993,0.000029,15.359935,0.379968,2.693199,1.430539,0.031485,0.096701,0.857983,0.013486,1.149037,9.403532,18.518644,18.478720,0.667135,1.291818,0.000918,0.000083,0.007481,0.000057,0.000029,0.265855,0.336473,0.006611,0.007999,0.169237,0.000215,0.006518,0.000123,0.000078,3.721233,11.503513,11.503390,11.395493,5.563428,3.403608,5.546218,0.258606,0.103537,0.042281,0.007969,9.267117,9.115999,0,0,0,0,0,0,0
xpu,PegasusForCausalLM,32,10.029367,9.576749,1.207260,0.388900,0.131092,0.041108,0.041201,0.294187,0.010311,0.188124,0.007335,8.359864,0.591721,0.148233,1.055943,0.006946,0.000172,0.000431,0.000141,6.638542,0.328271,4.729923,1.481226,0.003295,0.013929,1.063628,0.001747,7.430634,7.423331,0.082606,0.153899,0.000292,0.000322,0.000204,0.001097,0.000137,0.000093,0.037556,0.024171,0.000899,0.001219,0.019367,0.000520,0.001084,0.000297,0.000261,0.480240,6.435170,6.434841,1.602058,0.773920,0.373381,0.788165,0.032213,4.828506,1.258764,3.551770,0.014330,2.978856,0.284216,0.087759,3.104448,3.081930,0,0,0,0
xpu,GPT2ForSequenceClassification,4,23.990777,2.470390,5.401294,1.044104,21.126597,0.379563,0.276015,0.365712,0.002163,1.518072,0.048027,18.035026,0.602238,0.150267,1.088282,0.011546,0.000053,0.001290,0.000031,15.802906,0.382388,2.131592,1.714495,0.029360,0.083212,0.942529,0.014458,1.093101,10.214660,21.020579,20.985502,0.609240,1.124378,0.000831,0.000078,0.008585,0.000057,0.000028,0.264583,0.209746,0.006016,0.007376,0.153969,0.000203,0.005833,0.000122,0.000080,3.063776,15.107915,15.107800,12.376845,6.313100,3.694267,5.827308,0.212330,2.803087,2.702387,0.016295,2.871583,10.935915,10.806760,0.103019,0.004965,0.002413,0.017511,0,0
xpu,BlenderbotForCausalLM,4,9.831236,9.293079,1.362980,0.563198,0.191123,0.042213,0.041301,0.315979,0.012233,0.191085,0.008065,7.941505,0.788864,0.147985,1.084166,0.007312,0.000195,0.000508,0.000185,5.988321,0.108446,0.304588,0.313354,0.003367,0.014642,0.096041,0.001728,0.094956,5.062550,8.617933,8.608964,0.085164,0.165026,0.000421,0.000288,0.001217,0.000192,0.000130,0.040213,0.024647,0.001015,0.001335,0.021505,0.000741,0.001335,0.000431,0.000377,0.704722,7.331167,7.330707,1.700828,0.814841,0.379752,0.838476,0.037631,5.624014,1.010483,4.592748,0.016423,3.273038,0.000243,3.587890,3.561745,0,0,0,0
xpu,LayoutLMForSequenceClassification,32,24.825876,3.096834,5.657191,1.537514,21.299645,0.372296,0.359656,0.404796,0.002477,0.955511,0.047894,18.554833,0.589932,0.141958,1.035365,0.010248,0.000055,0.001204,0.000030,17.155063,0.477987,3.138856,2.674927,0.031998,0.088349,2.101245,0.013438,1.026205,9.347763,19.715260,19.676862,0.653568,1.805331,0.000904,0.000082,0.007414,0.000056,0.000029,0.258686,0.328370,0.006781,0.007945,0.436750,0.000214,0.006572,0.000127,0.000079,3.676231,12.201306,12.201185,10.489825,4.538194,2.314220,5.653517,0.269885,1.792189,1.668346,0.020566,5.090548,10.520806,10.368380,0.118543,0.006339,0.003190,0.020872,0,0
xpu,T5ForConditionalGeneration,4,24.314192,1.731065,3.478589,0.624317,21.948629,0.248369,0.134284,0.615309,0.001777,0.876802,0.033182,20.079527,0.584170,0.145689,1.054540,0.013702,0.000052,0.001790,0.000031,18.215702,0.568096,3.478028,1.868244,0.054856,0.115801,1.114576,0.002570,1.289650,10.647498,19.191342,19.146159,0.828862,1.124186,0.001064,0.000079,0.013819,0.000061,0.000028,0.345271,0.009830,0.007208,0.008091,0.193393,0.000195,0.007381,0.000128,0.000082,3.850578,11.914583,11.914460,10.402785,4.915033,2.736149,5.167014,0.288653,1.507222,1.442262,0.015232,2.900417,8.729349,8.544782,0,0,0,0,0,0
xpu,BlenderbotSmallForCausalLM,256,11.859619,11.439399,1.157745,0.337177,0.110245,0.041604,0.043227,0.283693,0.010235,0.184457,0.007034,10.264480,0.584914,0.145805,1.102530,0.006826,0.000165,0.000445,0.000142,8.504067,0.102018,4.774655,3.523271,0.003221,0.013899,3.109195,0.001762,7.827816,7.819369,0.083447,0.161865,0.000247,0.000355,0.000228,0.001114,0.000150,0.000102,0.040645,0.024360,0.000950,0.002449,0.019503,0.000591,0.001164,0.000348,0.000294,0.592450,6.695423,6.695066,1.906374,1.041392,0.348840,0.821409,0.035100,4.783729,0.993159,3.771850,0.014464,3.418941,0.289045,0.090062,3.454088,3.430260,0,0,0,0
xpu,MegatronBertForCausalLM,4,44.917616,2.385756,4.389295,1.262981,42.166660,0.308823,0.344428,0.343023,0.002109,0.905322,0.043231,39.978337,0.816290,0.145810,1.060472,0.014805,0.000058,0.002011,0.000032,39.571251,0.909116,5.829547,5.261908,0.065969,0.171134,3.978904,0.025970,2.526901,24.077707,42.889998,42.811130,1.269346,2.513120,0.001642,0.000081,0.014546,0.000063,0.000028,0.498167,0.679306,0.012956,0.016123,0.328296,0.000217,0.012182,0.000152,0.000083,6.231890,30.306327,30.306201,25.973853,13.967891,9.670415,10.808081,1.146006,4.326228,4.214144,0.016674,3.505712,19.116145,18.813640,0,0,0,0,0,0
xpu,DebertaV2ForQuestionAnswering,8,34.825627,2.588488,4.809298,1.461208,31.871762,0.408776,0.356014,0.335725,0.002026,1.029294,0.054085,29.447495,0.847554,0.150535,1.089531,0.017838,0.000054,0.002579,0.000035,26.952932,0.670729,4.629956,3.192648,0.061752,0.187822,1.956732,0.025315,1.831807,16.077423,33.810085,33.738295,1.218721,3.051938,0.001553,0.000079,0.014377,0.000060,0.000029,0.943381,0.676485,0.012408,0.188551,0.318824,0.000219,0.012211,0.000143,0.000084,6.529454,20.453760,20.453621,19.903472,9.162389,5.584403,10.105153,0.583236,0.544453,0.436606,0.016259,4.211385,18.026827,17.733937,0,0,0,0,0,0
xpu,T5Small,4,5.797079,1.723250,3.466018,0.624961,3.817807,0.249878,0.134592,0.236013,0.002386,0.867765,0.033327,1.954777,0.585884,0.143192,1.032442,0.119253,0.004659,0.002254,0.084689,0.016536,0.000527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
xpu,PegasusForConditionalGeneration,64,15.734141,12.223786,2.149751,0.948329,2.968868,0.061611,0.086361,0.496753,0.016515,0.264048,0.013759,12.812821,0.590141,0.145995,1.063623,0.008161,0.000222,0.000686,0.000203,11.020907,0.159607,8.085638,2.160694,0.008002,0.029052,1.712289,0.003484,12.561418,12.547453,0.171975,0.343915,0.000419,0.000649,0.000288,0.002487,0.000218,0.000131,0.075733,0.071641,0.001870,0.002368,0.050201,0.000806,0.002091,0.000442,0.000380,0.933744,10.589495,10.589023,3.323009,1.662589,0.953244,1.579281,0.068055,7.262746,0.851628,6.379494,0.022952,4.489065,0.608147,0.188497,0.009164,0.000474,0.000189,0.001143,4.883918,4.838999
xpu,YituTechConvBert,16,36.110739,1.807758,3.569873,0.956586,33.948952,0.289841,0.259987,0.334634,0.002186,0.987014,0.037037,31.992857,0.583132,0.146463,1.081061,0.013371,0.000055,0.001650,0.000032,30.780387,0.685972,4.584485,3.382556,0.050657,0.133231,2.702084,0.014571,1.858269,19.615734,37.597334,37.517256,1.404757,1.736188,0.001243,0.000078,0.012896,0.000062,0.000027,0.411139,0.353700,0.009089,0.010675,0.243707,0.000203,0.009024,0.000139,0.000080,5.012312,27.403622,27.403483,17.001849,7.521887,3.671765,8.938412,0.501154,10.395948,10.300553,0.040056,7.115193,18.300420,17.983162,0,0,0,0,0,0
xpu,BlenderbotSmallForConditionalGeneration,128,16.204066,12.491034,1.848071,0.620705,3.175767,0.063749,0.089810,0.493573,0.017020,0.267516,0.013735,13.371454,0.582813,0.146295,1.091758,0.008176,0.000224,0.000675,0.000201,11.553339,0.159555,8.385915,2.378092,0.007949,0.029296,1.940180,0.003503,13.661373,13.647221,0.173802,0.347508,0.000357,0.000577,0.000304,0.002530,0.000215,0.000142,0.075585,0.069704,0.001976,0.002413,0.050467,0.000872,0.002170,0.000468,0.000408,0.994627,11.617984,11.617487,3.318591,1.294107,0.585368,1.940495,0.070270,8.296738,0.743192,7.520006,0.022479,4.039664,0.614166,0.193349,0.013755,0.000566,0.000205,0.001352,5.672740,5.626508
xpu,TrOCRForCausalLM,32,7.826182,7.412944,0.655933,0.253270,0.116624,0.024683,0.033594,0.271606,0.012642,0.134636,0.006986,6.744416,0.591262,0.147933,1.056927,0.007520,0.000171,0.000441,0.000142,5.022131,0.094328,0.291052,0.478902,0.003279,0.012538,0.092892,0.001725,0.089013,3.988400,7.427739,7.419831,0.079874,0.155771,0.000379,0.000254,0.001113,0.000169,0.000121,0.037879,0.024938,0.000938,0.001176,0.019086,0.000638,0.001194,0.000386,0.000333,0.439343,6.375313,6.374907,1.800613,0.742118,0.333094,1.014274,0.034975,4.569260,1.363429,3.186023,0.013226,3.006970,0.000134,3.468878,3.443595,0,0,0,0
xpu,M2M100ForConditionalGeneration,16,30.967234,30.278419,2.060398,0.635026,0.203114,0.065417,0.079467,0.446775,0.014199,0.264398,0.013799,28.216196,0.586106,0.143779,1.035508,0.008465,0.000219,0.000700,0.000202,26.466287,0.156815,0.620608,0.703897,0.008311,0.028311,0.221637,0.003424,0.190609,24.634244,34.445103,34.430868,0.179417,0.353997,0.000592,0.000308,0.002555,0.000216,0.000142,0.077056,0.080878,0.001925,0.002292,0.046324,0.000818,0.002103,0.000470,0.000409,1.000626,32.340066,32.339556,3.738771,1.897389,0.811389,1.747802,0.078735,28.594426,1.118020,27.443297,0.026165,4.181075,0.000328,0.004705,0.000203,0.000079,0.000505,9.869131,9.821578
xpu,AlbertForQuestionAnswering,8,18.043463,1.071718,1.969551,0.167420,16.838844,0.129595,0.033497,0.122148,0.001663,0.546690,0.015781,15.859224,0.801463,0.148210,1.097166,0.008924,0.000051,0.000867,0.000029,13.880956,0.374692,2.411462,1.551109,0.030030,0.090427,1.131536,0.014672,0.989414,8.279167,23.615070,23.584397,0.557334,1.873760,0.000845,0.000075,0.006397,0.000054,0.000027,0.558172,0.661429,0.006019,0.007347,0.147768,0.000201,0.005667,0.000118,0.000082,2.909534,17.452249,17.452141,10.287461,5.476388,3.546438,4.621015,0.176236,7.160411,7.118285,0.026513,8.399282,15.830590,15.336588,0,0,0,0,0,0
xpu,DistilBertForMaskedLM,128,24.131372,0.768061,1.374761,0.372350,23.187903,0.084389,0.097829,0.166522,0.002094,0.304116,0.011517,22.502737,0.778661,0.151213,1.107642,0.006644,0.000052,0.000524,0.000030,20.455262,0.214118,1.321088,1.913505,0.016444,0.050572,1.550260,0.007490,0.643558,16.203868,23.969265,23.949314,0.333549,0.663800,0.000507,0.000080,0.004043,0.000051,0.000027,0.131445,0.175386,0.003326,0.003813,0.085552,0.000188,0.003145,0.000098,0.000076,1.751143,20.476569,20.476451,5.551735,2.470873,1.428218,2.942090,0.123394,14.921682,14.888494,0.019570,4.315787,7.845193,7.766056,0,0,0,0,0,0
xpu,MBartForCausalLM,4,7.878795,7.401286,1.254519,0.407431,0.132675,0.045327,0.044917,0.313944,0.013020,0.196995,0.008202,6.132858,0.583195,0.143323,1.029337,0.007225,0.000198,0.000490,0.000169,4.440535,0.108437,0.306643,0.506195,0.003372,0.014703,0.097185,0.001734,0.094218,3.318924,6.486143,6.477199,0.085800,0.166106,0.000430,0.000295,0.001187,0.000194,0.000124,0.040873,0.024994,0.001022,0.001324,0.021601,0.000721,0.001286,0.000429,0.000367,0.485206,5.421021,5.420579,1.637808,0.779888,0.376651,0.810485,0.037629,3.777150,0.978740,2.777237,0.014824,3.079200,0.000250,3.199323,3.173557,0,0,0,0
xpu,XGLMForCausalLM,8,8.789200,8.370000,1.034856,0.349034,0.116749,0.036607,0.036940,0.275082,0.010510,0.168418,0.007355,7.312741,0.593090,0.144660,1.043903,0.008045,0.000168,0.000441,0.000147,5.599682,0.099533,0.301264,0.500599,0.003684,0.014206,0.093467,0.001709,0.089039,4.518904,9.819090,9.811209,0.091277,0.159215,0.000463,0.000233,0.001297,0.000156,0.000104,0.038938,0.025575,0.000976,0.001258,0.020437,0.000586,0.001162,0.000337,0.000297,0.496569,8.686831,8.686483,2.025537,1.062469,0.375108,0.918171,0.035980,6.656311,0.971426,5.665674,0.015435,3.063857,0.000205,5.333413,5.308523,0,0,0,0
xpu,MegatronBertForQuestionAnswering,16,43.207013,2.392232,4.403403,1.260471,40.450797,0.309514,0.346658,0.344067,0.001684,0.917269,0.044435,38.251332,0.872770,0.151191,1.056696,0.014442,0.000051,0.001920,0.000032,37.805302,0.921713,5.877584,5.541449,0.061114,0.174133,4.267857,0.025049,2.535877,21.949260,38.400467,38.323306,1.257199,2.482797,0.001689,0.000078,0.014069,0.000061,0.000028,0.498261,0.661217,0.012648,0.014749,0.326258,0.000215,0.012111,0.000147,0.000085,6.088807,26.028229,26.028096,25.529702,14.375338,10.010020,10.547759,0.553237,0.492404,0.385131,0.017640,3.950635,16.750558,16.452471,0,0,0,0,0,0
xpu,DistilBertForQuestionAnswering,512,23.250155,0.769444,1.379232,0.363049,22.037143,0.085780,0.096335,0.435688,0.001471,0.307194,0.011587,21.350655,0.768760,0.146878,1.096313,0.006512,0.000045,0.000542,0.000030,19.319752,0.216886,1.256276,1.129313,0.015821,0.049046,0.773311,0.007471,0.623419,15.939583,23.681326,23.659967,0.334535,0.659125,0.000494,0.000072,0.003759,0.000051,0.000028,0.141399,0.166475,0.003166,0.003452,0.084348,0.000170,0.002832,0.000100,0.000076,1.741699,20.175164,20.175064,5.480871,2.291672,1.210023,3.050802,0.123545,14.691173,14.657134,0.021390,4.882479,7.821480,7.742413,0,0,0,0,0,0
xpu,MBartForConditionalGeneration,4,11.898915,8.539893,1.849407,0.676323,2.842787,0.066083,0.089563,0.476364,0.014674,0.275128,0.014142,9.089545,0.584520,0.144589,1.059179,0.007176,0.000167,0.000528,0.000145,7.280682,0.148327,5.895187,0.676357,0.007914,0.027634,0.217221,0.003553,7.886028,7.872046,0.139134,0.300052,0.000154,0.000441,0.000227,0.001983,0.000164,0.000105,0.064800,0.067458,0.001470,0.001832,0.039048,0.000617,0.001573,0.000350,0.000291,0.760083,6.209351,6.208993,2.680872,1.093661,0.537173,1.520794,0.055884,3.545566,0.704320,2.803901,0.011446,0.032743,0.002977,0.001312,0.009651,0.619144,0.188661,1.001256,2.411120,2.364780
xpu,AllenaiLongformerBase,4,47.266243,41.697526,4.844104,0.643303,5.136536,0.299463,0.113513,0.406827,0.004662,1.123643,0.085741,41.722140,0.768447,0.149076,1.085411,0.025060,0.000158,0.003626,0.000119,39.494191,1.645771,8.877528,3.584649,0.137765,0.687948,2.128050,0.016256,2.018177,22.644142,51.781830,51.719987,1.178488,3.201845,0.001639,0.000180,0.046416,0.000143,0.000080,0.275813,0.081183,0.010642,0.011648,1.900987,0.000512,0.010203,0.000314,0.000225,8.320083,37.312792,37.312491,29.553039,12.831362,6.282152,16.340081,0.351833,7.753797,1.371599,6.306746,0.035038,7.415551,0.000194,0.000072,0.000463,29.427633,29.141893,0,0
xpu,DistillGPT2,16,18.855283,2.808948,2.877363,0.776696,15.740356,0.195010,0.317772,0.282509,0.004441,0.584411,0.015089,15.554355,0.587470,0.147272,1.095726,0.009049,0.000082,0.000827,0.000058,13.729932,0.235687,1.135841,1.801257,0.014950,0.044373,1.248804,0.007985,0.422211,9.986353,17.801071,17.781769,0.328399,0.594533,0.000548,0.000126,0.004396,0.000092,0.000056,0.139922,0.111730,0.002947,0.003421,0.079910,0.000325,0.002783,0.000185,0.000160,1.718609,14.511830,14.511641,6.278377,3.096744,1.433993,3.063201,0.103687,8.229530,8.198095,0.015517,2.792923,7.887797,7.815604,0,0,0,0,0,0
