dev,name,batch_size,_compile.compile_inner,compile_attempt_0,bytecode_tracing,get_fake_value,create_proxy,wrap_to_fake_tensor_and_record,variable_builder_call,compile_attempt_1,build_guards,gc,insert_deferred_runtime_asserts,OutputGraph.call_user_compiler,inductor_import,inductor_codecache_torch_key,CacheBase.get_system.triton_key,_recursive_pre_grad_passes,pass.pre_grad_passes.group_batch_fusion_passes,pass.pre_grad_passes.efficient_conv_bn_eval_pass,pass.pre_grad_passes.apply_gumbel_max_trick_pass,create_aot_dispatcher_function,aot_collect_metadata,compile_fx.<locals>.fw_compiler_base,_recursive_joint_graph_passes,pass.joint_graph_passes.remove_noop_ops,pass.joint_graph_passes.constant_fold_uniform_value,pass.joint_graph_passes.pass_pattern_0,pass.joint_graph_passes.pass_pattern_1,compile_fx_inner,fx_codegen_and_compile,TritonBundler.read_and_emit,TritonBundler.load_cached_static_autotuners,PyCodeCache.load_by_key_path,StaticAutotunerFuture.warm_precompile,async_compile.wait,additional_fake_tensor_prop,_recursive_post_grad_passes,pass.post_grad_passes.reorder_for_locality,pass.post_grad_passes.remove_profiler_ops,pass.post_grad_passes.post_grad_custom_pre_pass,pass.post_grad_passes.remove_noop_ops,pass.post_grad_passes.remove_assert_ops,pass.post_grad_passes.pass_pattern_0,pass.post_grad_passes.pass_pattern_1,pass.post_grad_passes.pass_pattern_2,pass.post_grad_passes.stable_sort,pass.post_grad_passes.move_constructors_to_cuda,pass.post_grad_passes.reinplace_inplaceable_ops,pass.post_grad_passes.decompose_triton_kernel_wrapper_functional,pass.post_grad_passes.decompose_auto_functionalized,pass.post_grad_passes.decompose_scan_to_while_loop,pass.post_grad_passes.decompose_map_to_while_loop,GraphLowering.run,GraphLowering.compile_to_fn,GraphLowering.compile_to_module,GraphLowering.codegen,Scheduler.__init__,Scheduler.fused_nodes,Scheduler.codegen,PythonWrapperCodegen.generate,async_compile.precompile,TritonBundler.collect,CachingAutotuner.benchmark_all_configs
xpu,PLBartForConditionalGeneration,8,16.105053,13.512506,3.090333,0.465955,0.147065,0.165347,0.966723,2.193882,0.363219,0.011351,0.025412,12.463050,0.593018,0.145880,1.033464,0.224546,0.000226,0.001334,0.000199,10.337437,0.298364,8.933857,0.669096,0.013947,0.039298,0.401087,0.004192,8.262081,8.246269,0.000569,0.000211,3.403315,0.001467,2.393592,0.208911,0.448178,0.005073,0.000465,0.000151,0.003819,0.000105,0.000066,0.146961,0.014918,0.002320,0.002687,0.056490,0.000392,0.002296,0.000224,0.000185,1.036560,5.964487,5.964252,2.565499,0.832666,0.346176,1.660106,0.061706,0.982621,0.010895,2.302733
xpu,AlbertForQuestionAnswering,8,11.272653,11.203313,1.059856,0.333416,0.070349,0.014397,0.084269,0.015889,10.108960,0.590123,0.148309,1.085620,0.008790,0.000051,0.000872,0.000031,8.354043,0.318220,6.683345,0.952929,0.015750,0.053495,0.661849,0.004962,5.728942,5.715539,0.256158,0.638029,0.006484,0.000391,0.000055,0.005186,0.000028,0.000014,0.223797,0.017764,0.002589,0.003148,0.066739,0.000114,0.002458,0.000061,0.000042,1.269399,3.308568,3.308515,2.993274,1.256691,0.481500,1.678292,0.055457,0.313895,0.297424,0.005911,0.065091,0.000473,1.411104,0,0,0,0,0
xpu,LayoutLMForSequenceClassification,32,12.250100,11.876713,2.499365,0.516536,0.194439,0.176372,0.668190,0.048874,9.234636,0.803297,0.151232,1.041014,0.009769,0.000053,0.001121,0.000031,6.787570,0.323245,5.325759,0.823582,0.017336,0.037412,0.553836,0.003618,4.500544,4.487082,0.187824,0.214756,0.004376,0.000267,0.000048,0.005280,0.000030,0.000015,0.065252,0.015514,0.001924,0.002012,0.048873,0.000110,0.001855,0.000063,0.000044,1.114039,2.472915,2.472861,1.895976,0.681964,0.297791,1.145422,0.059186,0.597899,0.557726,0.003121,0.362120,0.000469,0.675860,0.031916,0.001163,0.000559,0.003792,0
xpu,MegatronBertForCausalLM,4,18.569196,18.266412,2.373037,0.482595,0.163382,0.170593,0.626145,0.047319,15.762755,0.593300,0.144771,1.030439,0.014972,0.000058,0.002003,0.000033,13.595646,0.588159,10.824844,1.398395,0.035328,0.069915,0.784383,0.006396,9.423518,9.398780,0.339953,0.677449,0.008563,0.000489,0.000052,0.007050,0.000032,0.000015,0.119737,0.030977,0.003857,0.004128,0.092978,0.000110,0.003589,0.000070,0.000041,1.671057,5.386183,5.386129,4.660085,2.616247,1.940940,1.919842,0.107709,0.723765,0.686386,0.003234,0.292941,0.000169,0.315786,0,0,0,0,0
xpu,YituTechConvBert,16,15.713334,15.134620,1.765885,0.455878,0.149605,0.127357,0.468613,0.037448,13.268851,0.811581,0.152354,1.081456,0.022890,0.000073,0.002891,0.000065,10.915404,0.561570,8.595419,1.142855,0.027740,0.057388,0.821255,0.004822,7.450136,7.429185,0.313173,0.914769,0.007421,0.000444,0.000052,0.006653,0.000030,0.000014,0.220017,0.020730,0.003305,0.003778,0.083351,0.000106,0.003182,0.000064,0.000040,1.495118,3.592682,3.592627,2.792050,0.966410,0.354984,1.700095,0.112045,0.798757,0.766304,0.005164,0.233324,0.000060,1.097906,0,0,0,0,0
xpu,PegasusForCausalLM,32,9.792040,9.636582,1.100348,0.234560,0.083237,0.085758,0.302947,0.022717,8.472021,0.589386,0.143766,1.034294,0.008760,0.000052,0.000968,0.000030,6.568940,0.236430,5.237664,0.709873,0.011738,0.031312,0.458789,0.003311,4.526383,4.513728,0.178844,0.214759,0.004474,0.000270,0.000053,0.003028,0.000026,0.000014,0.068207,0.015397,0.001964,0.002207,0.048324,0.000102,0.001831,0.000053,0.000040,0.892615,2.743495,2.743442,2.427429,1.373589,0.806029,0.987878,0.057132,0.314568,0.294227,0.003521,0.150772,0.000311,0.334837,0,0,0,0,0
xpu,BlenderbotForCausalLM,4,16.495677,16.232125,1.892278,0.366615,0.154712,0.167121,0.555468,0.039990,14.228098,0.805702,0.148706,1.087751,0.012616,0.000051,0.001868,0.000030,11.811974,0.440517,9.639510,0.828462,0.023568,0.059499,0.502118,0.006174,8.808735,8.784550,0.333696,0.643908,0.008326,0.000507,0.000053,0.005445,0.000030,0.000014,0.116584,0.030362,0.003817,0.004466,0.094828,0.000112,0.003462,0.000075,0.000040,1.676518,5.201543,5.201485,4.499098,2.177264,1.565490,2.195675,0.109776,0.700324,0.662497,0.004034,0.254050,0.000328,0.500786,0,0,0,0,0
xpu,T5ForConditionalGeneration,4,15.008813,14.824055,1.825564,0.512359,0.153921,0.063366,0.307873,0.041322,12.908361,0.803709,0.148396,1.045651,0.016079,0.000057,0.002049,0.000034,10.822381,0.591682,8.542365,0.852030,0.027770,0.058367,0.533355,0.000551,7.688224,7.672074,0.251635,0.473284,0.006736,0.000397,0.000048,0.006973,0.000029,0.000014,0.090823,0.003623,0.002715,0.003292,0.068651,0.000120,0.002730,0.000065,0.000045,1.798199,4.616451,4.616395,4.388208,2.187029,1.527104,2.107831,0.085995,0.225714,0.201487,0.007452,0.176912,0.000340,1.702488,0,0,0,0,0
xpu,DebertaV2ForQuestionAnswering,8,19.668647,19.380316,2.301140,0.536231,0.209098,0.164045,0.587605,0.054717,16.938672,0.790759,0.149533,1.103494,0.017134,0.000055,0.002564,0.000034,14.486034,0.619887,11.607106,1.650392,0.287717,0.091137,1.005337,0.009072,9.953514,9.922867,0.466326,1.234802,0.011256,0.000682,0.000049,0.011196,0.000031,0.000014,0.446308,0.030486,0.005013,0.071952,0.123523,0.000117,0.004611,0.000071,0.000041,2.139486,5.002695,5.002637,4.751517,1.859141,0.697234,2.760184,0.115610,0.249133,0.209772,0.003379,0.276921,0.000810,0.463171,0,0,0,0,0
xpu,T5Small,4,4.208667,4.028273,1.820841,0.508850,0.153603,0.063362,0.309001,0.040152,2.120134,0.775740,0.145244,1.039985,0.086645,0.001845,0.000661,0.065993,0.006372,0.034805,0.000454,0.172839,0.000268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
xpu,BlenderbotSmallForCausalLM,256,7.305543,7.184396,0.832592,0.186232,0.059704,0.060751,0.216529,0.016472,6.302919,0.592126,0.148100,1.090898,0.007639,0.000056,0.000715,0.000030,4.421146,0.171522,3.612077,0.828128,0.008091,0.021901,0.411091,0.002335,2.782964,2.774227,0.127348,0.154613,0.002766,0.000191,0.000046,0.002027,0.000026,0.000014,0.048870,0.010206,0.001311,0.001465,0.032931,0.000087,0.001173,0.000048,0.000039,0.608413,1.551753,1.551700,1.166556,0.477172,0.241745,0.646711,0.036203,0.384079,0.369801,0.002348,0.117446,0.000231,0.327598,0,0,0,0,0
xpu,MegatronBertForQuestionAnswering,16,18.170722,17.881985,2.334307,0.679361,0.162297,0.170321,0.619787,0.043535,15.424458,0.585982,0.145565,1.032173,0.014466,0.000053,0.001947,0.000034,13.274350,0.580285,10.518163,1.688101,0.033540,0.070147,1.071310,0.006278,8.826816,8.802690,0.337147,0.680854,0.008225,0.000510,0.000047,0.006713,0.000030,0.000015,0.129001,0.030041,0.003451,0.003678,0.093178,0.000116,0.003617,0.000075,0.000042,1.652311,4.873323,4.873265,4.552510,2.568424,1.935391,1.858838,0.108570,0.318727,0.280775,0.002845,0.279590,0.000681,0.197675,0,0,0,0,0
xpu,DistilBertForMaskedLM,128,8.919870,8.806582,0.742860,0.195088,0.046869,0.048394,0.184132,0.011912,8.023974,0.590887,0.148056,1.088943,0.006820,0.000055,0.000529,0.000029,6.181024,0.171738,5.362326,0.851400,0.008460,0.039165,0.415391,0.002767,4.509948,4.501119,0.139901,0.334123,0.003132,0.000226,0.000046,0.002863,0.000025,0.000013,0.116351,0.008608,0.001333,0.001478,0.035854,0.000095,0.001283,0.000047,0.000039,0.722242,3.003191,3.003139,1.539197,0.547441,0.232063,0.950888,0.035322,1.462738,1.448646,0.005546,0.109653,0.000321,1.083216,0,0,0,0,0
xpu,M2M100ForConditionalGeneration,16,25.105933,24.767658,2.828186,0.768853,0.228334,0.217386,0.692706,0.053721,21.792556,0.587573,0.144663,1.038577,0.016331,0.000068,0.002429,0.000034,19.443312,0.758876,15.873009,1.603307,0.041341,0.099620,0.909053,0.010569,14.265178,14.228232,0.555875,1.352172,0.014162,0.000808,0.000055,0.011000,0.000032,0.000014,0.428092,0.040144,0.006435,0.007106,0.162165,0.000113,0.005660,0.000073,0.000043,3.157424,7.842482,7.842423,7.740082,3.398882,2.243693,4.149654,0.169363,0.099554,0.053662,0.007746,0.325596,0.000844,1.248955,0,0,0,0,0
xpu,AllenaiLongformerBase,4,44.701205,39.554593,5.119936,1.345855,0.313038,0.111697,0.654702,4.790015,0.331543,0.005133,0.088981,39.008870,0.783875,0.148516,1.094983,0.025722,0.000170,0.003819,0.000125,36.749188,1.473623,29.933093,1.522757,0.079633,0.159856,0.957542,0.007550,28.404299,28.358045,0.850831,2.392585,0.021835,0.001352,0.000140,0.048431,0.000101,0.000055,0.266786,0.012523,0.008877,0.011225,1.279496,0.000365,0.008534,0.000210,0.000154,5.536249,18.496682,18.496483,16.012002,6.175277,2.062203,9.697163,0.128239,2.480458,1.270213,1.170173,0.018004,3.940667,0,0,0
xpu,TrOCRForCausalLM,32,11.302646,11.156762,1.098436,0.287308,0.088028,0.086152,0.290986,0.025916,9.991353,0.590855,0.145731,1.045691,0.010404,0.000053,0.001232,0.000032,8.066541,0.298072,6.461349,0.629768,0.017690,0.034647,0.360290,0.004644,5.830049,5.815400,0.216130,0.585713,0.005469,0.000338,0.000053,0.005497,0.000031,0.000014,0.218006,0.016479,0.002498,0.002906,0.060074,0.000111,0.002433,0.000063,0.000042,1.125503,3.076427,3.076372,2.722881,1.136551,0.380477,1.519730,0.057638,0.351959,0.328701,0.003482,0.140572,0.000303,0.680882,0,0,0,0,0
xpu,PegasusForConditionalGeneration,64,26.132070,25.791389,2.820951,0.584775,0.216247,0.222563,0.706141,0.052535,22.825170,0.590833,0.143941,1.032935,0.016126,0.000052,0.002413,0.000035,20.520110,0.762480,16.858216,1.772661,0.040454,0.104910,1.100297,0.010448,15.081934,15.041895,0.574338,1.692498,0.015251,0.000867,0.000050,0.012221,0.000029,0.000014,0.458770,0.041306,0.006742,0.007886,0.440343,0.000111,0.005921,0.000079,0.000043,3.268357,8.184253,8.184194,8.024483,3.458812,2.273778,4.374895,0.168998,0.156744,0.110498,0.009153,0.327743,0.000616,1.395504,0,0,0,0,0
xpu,DistilBertForQuestionAnswering,512,9.249263,9.148304,0.759768,0.203959,0.047945,0.048213,0.181780,0.012042,8.347762,0.594739,0.149404,1.088963,0.006746,0.000049,0.000538,0.000029,6.500269,0.175130,5.671708,0.959247,0.008678,0.033332,0.518399,0.002829,4.711458,4.702547,0.144951,0.353290,0.003391,0.000212,0.000050,0.002945,0.000025,0.000014,0.128356,0.008705,0.001458,0.001711,0.037613,0.000104,0.001379,0.000054,0.000042,0.721489,3.173693,3.173639,1.525767,0.540861,0.236488,0.944066,0.035312,1.646747,1.632555,0.005975,0.097344,0.000657,1.409810,0,0,0,0,0
xpu,MBartForCausalLM,4,9.665550,9.511097,1.088296,0.232188,0.082794,0.086555,0.297977,0.022210,8.359202,0.588994,0.142794,1.030386,0.009068,0.000051,0.001020,0.000032,6.459264,0.244898,5.083008,0.513462,0.012002,0.031734,0.260830,0.003500,4.568190,4.555615,0.183105,0.213189,0.004182,0.000266,0.000048,0.003678,0.000030,0.000014,0.066955,0.015185,0.001886,0.002054,0.048176,0.000087,0.001766,0.000052,0.000040,0.903476,2.775926,2.775874,2.460383,1.422433,0.850179,0.972756,0.056245,0.314042,0.292216,0.002652,0.150008,0.000271,0.145789,0,0,0,0,0
xpu,BlenderbotSmallForConditionalGeneration,128,18.556839,15.848280,3.235944,0.529843,0.170164,0.197817,0.903330,2.276651,0.400865,0.006788,0.028700,14.713467,0.591138,0.149145,1.085613,0.012678,0.000196,0.001500,0.000172,12.692567,0.362906,10.983091,1.071098,0.017015,0.048489,0.578548,0.004915,9.909133,9.890321,0.000609,0.000237,4.111844,0.001394,3.634762,0.258667,0.566576,0.006452,0.000470,0.000122,0.004850,0.000093,0.000053,0.180522,0.018882,0.002985,0.003548,0.073135,0.000338,0.002783,0.000183,0.000150,1.579163,6.785007,6.784814,2.678700,0.995063,0.417660,1.597375,0.074030,0.444686,0.012706,2.848911
xpu,Qwen/Qwen3-0.6B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
xpu,BartForCausalLM,4,9.039559,8.884054,1.101888,0.236683,0.083042,0.086881,0.303366,0.022810,7.717696,0.596213,0.148048,1.083254,0.008750,0.000051,0.000977,0.000032,5.751950,0.241805,4.401969,0.522403,0.012144,0.031624,0.268441,0.003562,3.878224,3.865372,0.182173,0.217191,0.004282,0.000272,0.000050,0.002945,0.000026,0.000013,0.068879,0.016431,0.001880,0.002128,0.048302,0.000095,0.001841,0.000053,0.000040,0.854653,2.118662,2.118609,1.792973,0.852696,0.329952,0.880414,0.051051,0.324486,0.303972,0.001429,0.150644,0.000627,0,0,0,0,0,0
xpu,MobileBertForMaskedLM,128,31.001237,30.311795,4.482065,0.994191,0.365089,0.484309,1.573393,0.091912,25.502140,0.821533,0.143372,1.041555,0.024377,0.000055,0.003762,0.000036,22.192756,1.089849,17.371559,1.953220,0.043232,0.115034,1.474973,0.003310,15.413060,15.063596,0.666263,1.502416,0.016662,0.000899,0.000052,0.007869,0.000031,0.000014,0.405119,0.073252,0.007789,0.009171,0.194846,0.000122,0.006934,0.000081,0.000042,3.076703,7.372781,7.372712,6.056153,1.858319,0.328930,3.908630,0.242642,1.312674,1.217309,0.010991,0.665154,0.000597,2.748096,0,0,0,0,0
xpu,DistillGPT2,16,9.252671,2.606714,2.721428,0.630631,0.197862,0.143543,0.588983,6.424663,0.201448,0.003720,0.015313,6.233365,0.589578,0.150038,1.088510,0.010656,0.000087,0.000819,0.000058,4.414781,0.127773,3.844344,0.505429,0.005420,0.017379,0.297830,0.002136,3.337950,3.331552,0.103322,0.339353,0.002139,0.000182,0.000076,0.001851,0.000044,0.000026,0.037042,0.006841,0.000966,0.001114,0.242994,0.000180,0.000930,0.000091,0.000076,0.508812,2.145589,2.145493,1.404608,0.693158,0.434353,0.676563,0.029879,0.738814,0.725467,0.004704,0.513614,0,0,0,0
xpu,XGLMForCausalLM,8,20.710826,20.461733,2.146349,0.551237,0.204789,0.173113,0.545551,0.049595,18.193807,0.783679,0.144599,1.043690,0.016554,0.000053,0.002324,0.000037,15.829663,0.639365,12.969978,1.073269,0.036129,0.068918,0.703881,0.008904,11.893938,11.650069,0.427658,1.132691,0.010613,0.000613,0.000049,0.010605,0.000036,0.000017,0.415862,0.031542,0.004804,0.005781,0.120827,0.000127,0.004393,0.000076,0.000043,2.254728,6.393267,6.393208,6.257431,2.953911,1.704556,3.165614,0.121405,0.133595,0.096960,0.005444,0.240813,0.000339,0.747378,0,0,0,0,0
xpu,ElectraForCausalLM,32,14.474928,14.284669,1.345566,0.324214,0.089748,0.091632,0.348353,0.022373,12.868213,0.784355,0.148991,1.087532,0.009093,0.000062,0.000996,0.000031,10.701370,0.322901,9.162766,0.870985,0.017058,0.042947,0.592428,0.004895,8.290094,8.273701,0.263106,0.626726,0.006372,0.000384,0.000051,0.005723,0.000030,0.000014,0.216427,0.017027,0.002741,0.003072,0.067945,0.000101,0.002467,0.000062,0.000042,1.655923,5.176450,5.176394,2.788755,1.009772,0.383727,1.703931,0.065827,2.386122,2.363885,0.005928,0.185407,0.000319,1.052607,0,0,0,0,0
xpu,MBartForConditionalGeneration,4,25.800524,25.468748,2.820480,0.794610,0.210339,0.215664,0.687236,0.057389,22.496980,0.591038,0.144430,1.040052,0.016232,0.000054,0.002445,0.000033,20.181667,0.764726,16.502615,1.574894,0.041428,0.102103,0.904489,0.011023,14.924120,14.882693,0.589468,1.687380,0.014416,0.000844,0.000044,0.012233,0.000031,0.000015,0.455690,0.041037,0.006173,0.006840,0.440371,0.000110,0.006058,0.000073,0.000041,3.275316,8.001673,8.001615,7.878489,3.470000,2.298415,4.220438,0.166527,0.119948,0.064774,0.007282,0.322307,0.000151,1.014459,0,0,0,0,0
