dev,name,batch_size,_compile.compile_inner,compile_attempt_0,bytecode_tracing,variable_builder_call,compile_attempt_1,create_proxy,wrap_to_fake_tensor_and_record,build_guards,gc,get_fake_value,insert_deferred_runtime_asserts,OutputGraph.call_user_compiler,inductor_import,inductor_codecache_torch_key,_recursive_pre_grad_passes,pass.pre_grad_passes.group_batch_fusion_passes,pass.pre_grad_passes.efficient_conv_bn_eval_pass,pass.pre_grad_passes.apply_gumbel_max_trick_pass,create_aot_dispatcher_function,aot_collect_metadata,compile_fx.<locals>.fw_compiler_base,_recursive_joint_graph_passes,pass.joint_graph_passes.remove_noop_ops,pass.joint_graph_passes.constant_fold_uniform_value,pass.joint_graph_passes.pass_pattern_0,pass.joint_graph_passes.pass_pattern_1,compile_fx_inner,fx_codegen_and_compile,CacheBase.get_system.triton_key,TritonBundler.read_and_emit,PyCodeCache.load_by_key_path,compile_file,async_compile.wait,aot_trace_joint_graph,min_cut_rematerialization_partition,additional_fake_tensor_prop,_recursive_post_grad_passes,pass.post_grad_passes.remove_profiler_ops,pass.post_grad_passes.post_grad_custom_pre_pass,pass.post_grad_passes.remove_noop_ops,pass.post_grad_passes.remove_assert_ops,pass.post_grad_passes.pass_pattern_0,pass.post_grad_passes.pass_pattern_1,pass.post_grad_passes.pass_pattern_2,pass.post_grad_passes.stable_sort,pass.post_grad_passes.move_constructors_to_cuda,pass.post_grad_passes.reinplace_inplaceable_ops,pass.post_grad_passes.decompose_triton_kernel_wrapper_functional,pass.post_grad_passes.decompose_auto_functionalized,pass.post_grad_passes.decompose_scan_to_while_loop,pass.post_grad_passes.decompose_map_to_while_loop,GraphLowering.run,GraphLowering.compile_to_fn,GraphLowering.compile_to_module,GraphLowering.codegen,Scheduler.__init__,Scheduler.fused_nodes,Scheduler.codegen,PythonWrapperCodegen.generate,TritonBundler.collect,CachingAutotuner.benchmark_all_configs,pass.post_grad_passes.reorder_for_locality,compile_attempt_2,pgo.dynamic_whitelist,AOTAutogradCache.inductor_load,TritonBundler.load_cached_static_autotuners,StaticAutotunerFuture.warm_precompile,backward._backward_impl,compile_fx.<locals>.bw_compiler
xpu,hf_T5,8,29.928629,1.888757,3.827373,0.667170,27.697571,0.276580,0.140720,0.319436,0.001854,1.171261,0.036551,25.615613,0.585704,0.145689,1.117672,0.014213,0.000054,0.001926,0.000032,23.784642,0.638113,4.252022,1.907770,0.063274,0.117872,1.125987,0.003124,1.553695,15.032783,29.519186,29.466890,0.916968,1.929194,0.001242,0.000082,0.025131,0.000063,0.000034,0.499767,0.009777,0.008155,0.009697,0.400378,0.000214,0.008717,0.000141,0.000085,4.418357,21.371390,21.371261,10.630166,4.868512,2.617691,5.425301,0.300632,10.736213,10.658729,0.032030,4.623243,15.198240,14.487472,0,0,0,0,0,0,0,0
xpu,hf_Bart,4,13.508536,11.161983,1.083885,0.426510,1.914679,0.040499,0.085291,0.391327,0.015990,0.217796,0.012638,11.791219,0.590290,0.145982,1.098513,0.017340,0.000410,0.000159,7.542907,0.000912,6.259988,0.009183,0.000216,0.000699,0.000197,10.004569,0.173042,0.800635,1.033627,0.011579,0.030216,0.737303,0.003892,0.230934,7.603917,13.262382,13.243818,0.210221,0.321956,0.000686,0.000375,0.005286,0.000264,0.000169,0.112626,0.006051,0.002160,0.002570,0.050659,0.000998,0.002550,0.000567,0.000492,1.370563,10.974231,10.973602,3.429034,1.503151,0.702907,1.827023,0.082229,1.246300,0.024947,3.710674,0.000192,5.724620,5.666118,0,0
xpu,phlippe_densenet,128,28.352954,1.672419,2.871151,0.928843,25.780915,0.142923,0.279597,0.878607,0.002473,0.735412,0.024934,24.434361,0.710822,0.145644,1.125080,0.009967,0.000046,0.002156,0.000035,22.408353,0.498252,2.967418,1.169708,0.024703,0.115164,0.797148,0.028783,1.447221,15.949177,28.277132,28.228920,1.027489,0.886444,0.001123,0.000076,0.020034,0.000062,0.000029,0.360871,0.015024,0.007401,0.008869,0.190961,0.000216,0.007453,0.000146,0.000084,5.447829,19.936295,19.936169,18.915185,8.033164,2.800759,10.310415,0.536755,1.010713,0.920302,0.103025,15.635462,12.500463,12.329040,0,0,0,0,0,0,0,0
xpu,mnasnet1_0,32,24.109762,1.345997,2.484278,1.045044,22.425151,0.129311,0.271122,0.319921,0.002338,0.515845,0.023317,21.146687,0.712409,0.141870,1.043107,0.008872,0.000050,0.002057,0.000034,19.209318,0.378159,2.697200,0.383090,0.019723,0.103560,0.028007,0.028198,1.129131,14.270064,32.171611,31.840819,0.853483,0.869054,0.001043,0.000076,0.017890,0.000060,0.000029,0.356260,0.013735,0.007158,0.008857,0.188380,0.000212,0.007232,0.000135,0.000082,5.246212,23.914488,23.914168,21.555555,7.487963,2.372464,13.363982,0.669569,2.348320,2.253765,0.124525,18.325576,18.060700,17.902504,0,0,0,0,0,0,0,0
xpu,resnet50,32,23.745734,1.241970,2.427412,1.045800,22.159567,0.137791,0.278222,0.323530,0.002521,0.403485,0.024226,20.830363,0.737569,0.148522,1.128565,0.010329,0.000062,0.002214,0.000035,18.781190,0.344203,2.881236,0.403053,0.023208,0.114624,0.030268,0.028986,1.129380,13.381891,25.234539,25.186258,0.834769,0.892562,0.001110,0.000079,0.018492,0.000071,0.000030,0.357062,0.014063,0.007372,0.009226,0.198394,0.000206,0.007145,0.000129,0.000080,5.071108,17.551290,17.551157,15.985565,6.185917,2.450334,9.269716,0.495068,1.557787,1.474682,0.060172,9.524479,12.015256,11.853668,0,0,0,0,0,0,0,0
xpu,fastNLP_Bert,6,24.013058,21.530578,1.932163,0.568119,2.049322,0.090036,0.113407,0.405137,0.008494,0.531928,0.029327,21.427203,0.710621,0.145357,1.107385,0.024789,0.000750,0.000301,2.048465,0.001924,1.968432,0.010622,0.000105,0.001260,0.000087,20.563760,0.539494,3.886742,4.009000,0.042567,0.093819,3.416369,0.014360,1.168522,10.395774,22.229938,22.181061,1.082040,1.443558,0.001168,0.000186,0.017181,0.000148,0.000084,0.354490,0.022073,0.007439,0.009324,0.508840,0.000545,0.007554,0.000319,0.000250,3.635569,15.319327,15.319008,13.273317,6.364237,3.520101,6.595470,0.280088,0.016694,2.892474,12.030222,11.835853,0,0,0,0
xpu,phlippe_resnet,128,11.697954,0.541413,0.919865,0.375734,10.992410,0.053024,0.109492,0.153095,0.002180,0.159175,0.010045,10.526514,0.880959,0.148641,1.126682,0.006305,0.000054,0.000894,0.000037,8.434201,0.128445,0.937733,1.071115,0.009269,0.042094,0.824606,0.011002,0.538339,5.612545,10.738406,10.719278,0.300002,0.336238,0.000434,0.000083,0.006507,0.000053,0.000029,0.132727,0.005807,0.002581,0.002962,0.069948,0.000185,0.002713,0.000099,0.000079,1.781945,7.966932,7.966819,6.589262,2.836465,1.101017,3.558940,0.179721,1.373912,1.341344,0.032164,5.979829,5.186497,5.126501,0,0,0,0,0,0,0,0
xpu,hf_Bert,4,20.278684,1.374902,2.824399,0.749668,18.591207,0.159650,0.196905,0.297522,0.002254,0.835181,0.021748,17.009298,0.599797,0.150483,1.116642,0.009228,0.000056,0.001006,0.000030,15.152800,0.379739,3.031165,2.789574,0.046985,0.182327,1.730868,0.015062,1.209565,7.403243,18.515361,18.468250,0.750053,1.495712,0.001022,0.000082,0.019223,0.000068,0.000030,0.404301,0.032932,0.007298,0.009135,0.189358,0.000227,0.007336,0.000139,0.000084,3.541801,12.017552,12.017429,11.434626,5.229014,2.362245,5.890989,0.284849,0.578132,0.511419,0.015477,2.508069,11.301111,11.113161,0,0,0,0,0,0,0,0
xpu,functorch_dp_cifar10,64,11.907789,0.377323,0.633605,0.245816,11.339880,0.037195,0.066896,0.179752,0.002592,0.121257,0.007074,11.006078,0.710719,0.145397,1.106636,0.005639,0.000050,0.000284,0.000032,9.129854,0.114098,1.430837,0.560955,0.022804,0.052023,0.263425,0.009834,0.671690,6.173637,18.109945,18.087528,0.428756,0.420055,0.000581,0.000088,0.008257,0.000054,0.000028,0.154047,0.005266,0.003500,0.004372,0.090489,0.000223,0.003614,0.000109,0.000079,2.076469,14.706659,14.706543,9.312441,4.861714,2.698719,4.276229,0.161236,5.389394,5.355689,0.064080,10.932619,12.040872,11.937037,0,0,0,0,0,0,0,0
xpu,timm_efficientnet,32,29.160860,1.691590,3.124138,1.259072,26.874241,0.168216,0.311817,0.566233,0.002461,0.615260,0.027702,25.256809,0.718700,0.149649,1.090087,0.010082,0.000054,0.002252,0.000036,23.243422,0.455827,3.304520,0.447885,0.029204,0.124437,0.045965,0.035422,1.789210,16.724705,43.924433,43.861083,1.263083,1.560580,0.001355,0.000095,0.029202,0.000070,0.000031,0.516812,0.021203,0.009620,0.012899,0.260276,0.000230,0.009669,0.000160,0.000085,6.719614,32.997435,32.997300,25.687602,9.985297,3.841378,14.714220,0.940956,7.295372,7.157621,0.192023,27.730510,27.464080,27.201003,0,0,0,0,0,0,0,0
xpu,Background_Matting,4,28.165192,1.180116,2.341016,0.854509,26.640332,0.307928,0.279991,0.325524,0.002099,0.362524,0.024360,25.327699,0.721741,0.147379,1.100373,0.009769,0.000048,0.002028,0.000034,23.325079,0.307103,4.108753,0.658910,0.027239,0.185995,0.160361,0.046955,1.598833,16.133122,49.611973,49.557919,0.936017,1.031622,0.001232,0.000081,0.019660,0.000062,0.000029,0.396578,0.027506,0.008638,0.010852,0.225877,0.000223,0.009014,0.000146,0.000080,6.555576,40.089959,40.089839,34.193392,16.943003,10.428161,16.712109,0.504011,5.888053,5.796319,0.089513,18.014331,33.699987,33.479877,0,0,0,0,0,0,0,0
xpu,pytorch_stargan,16,12.427527,0.473548,0.799809,0.291126,11.756767,0.037408,0.083380,0.186490,0.002318,0.207982,0.007842,11.347147,0.722880,0.143536,1.039390,0.006636,0.000053,0.000310,0.000030,9.513717,0.392894,1.174087,0.480176,0.022527,0.046023,0.195113,0.010359,0.583672,6.721881,14.556539,14.536990,0.333768,0.335705,0.000482,0.000089,0.007672,0.000056,0.000028,0.114820,0.004119,0.002901,0.003406,0.076893,0.000198,0.002939,0.000100,0.000078,2.238311,11.222851,11.222655,6.563959,3.224071,1.432862,3.189266,0.138004,4.655243,4.624587,0.058592,11.136116,7.902911,7.835298,0,0,0,0,0,0,0,0
xpu,functorch_maml_omniglot,1,4.995011,0.193883,0.248384,0.109793,4.646527,0.009071,0.021522,0.144302,0.003956,0.065113,0.002811,4.532269,0.714587,0.148178,1.101931,0.004772,0.000049,0.000259,0.000035,2.681887,0.046349,0.260694,0.368409,0.001363,0.007502,0.015353,0.001843,0.060849,1.912995,6.565536,6.561820,0.088345,0.067442,0.000125,0.000072,0.001073,0.000043,0.000026,0.016666,0.000726,0.000483,0.000650,0.011364,0.000171,0.000538,0.000092,0.000076,0.504689,5.808207,5.808095,1.961325,0.956747,0.428104,0.965010,0.034557,3.844272,0.006773,3.821896,0.010704,0.938415,4.667261,4.652990,0,0,0,0,0,0,0
xpu,hf_T5_base,8,49.913828,3.654489,6.713718,1.228947,45.712536,0.520042,0.256175,0.507268,0.003555,1.932375,0.063020,42.434037,0.956634,0.145012,1.119436,0.023334,0.000067,0.003438,0.000038,40.135523,1.145807,7.854599,3.555293,0.123362,0.225416,2.199461,0.005158,3.475903,23.320039,46.650310,46.545046,1.768188,3.837369,0.002308,0.000084,0.051087,0.000077,0.000030,0.979180,0.018985,0.017647,0.022288,0.785229,0.000225,0.017569,0.000168,0.000092,8.873822,30.550057,30.549920,21.385307,10.129071,6.309615,10.529830,0.656629,9.156888,9.005008,0.026076,5.774200,23.781440,23.332022,0,0,0,0,0,0,0,0
xpu,resnext50_32x4d,8,23.335889,1.215692,2.378865,0.839711,21.794877,0.135681,0.275869,0.307581,0.002470,0.558880,0.023376,20.491318,0.715220,0.143565,1.039412,0.009883,0.000055,0.002195,0.000036,18.557696,0.310057,2.765165,0.401598,0.022645,0.113952,0.029944,0.029084,1.438364,13.273917,25.317011,25.270039,0.809351,0.885311,0.001108,0.000093,0.018887,0.000069,0.000029,0.355913,0.014842,0.007523,0.009720,0.193818,0.000213,0.007423,0.000136,0.000084,4.450663,18.317275,18.317147,16.739563,6.922229,2.086013,9.299808,0.481805,1.570076,1.489029,0.057956,9.244437,12.205154,12.044026,0,0,0,0,0,0,0,0
xpu,mobilenet_v2,96,25.349735,1.404910,2.542101,0.882721,23.593397,0.136407,0.270429,0.333303,0.002611,0.517351,0.022920,22.314005,0.721437,0.144169,1.125366,0.009578,0.000050,0.002098,0.000035,20.284433,0.454456,2.824756,0.406806,0.021698,0.112267,0.032696,0.027832,1.551123,14.647621,34.794055,34.740089,0.995764,0.996797,0.001156,0.000089,0.021589,0.000060,0.000028,0.406374,0.015683,0.008136,0.010495,0.213203,0.000222,0.008162,0.000145,0.000081,5.949244,25.769667,25.769545,22.800756,8.754553,3.378151,12.920110,1.088783,2.957666,2.857518,0.125649,20.121880,20.352775,20.147521,0,0,0,0,0,0,0,0
xpu,densenet121,4,67.251214,3.630093,6.226341,3.390489,63.010521,0.332785,0.850639,0.573283,0.003131,1.513906,0.058247,58.869240,0.724803,0.146949,1.105905,0.017947,0.000053,0.004811,0.000038,56.655324,1.076129,8.354183,1.069101,0.073408,0.291539,0.376444,0.065448,3.315284,41.528006,81.826732,81.706264,3.379824,2.865115,0.002669,0.000085,0.062583,0.000080,0.000031,0.876286,0.062190,0.019709,0.025515,0.501133,0.000232,0.020124,0.000172,0.000083,14.135032,59.072494,59.072346,57.873668,28.261687,11.925773,28.116846,1.415392,1.174621,0.946381,0.260945,37.439881,42.737910,40.300505,0,0,0,0,0,0,0,0
xpu,hf_Bert_large,4,35.639864,2.240218,4.559198,1.558609,32.921577,0.290230,0.350584,0.456330,0.001944,0.908156,0.037327,30.405017,0.585916,0.145659,1.101382,0.012129,0.000051,0.001729,0.000031,28.475122,0.666727,6.079657,4.170170,0.091772,0.278658,2.579446,0.028225,2.333377,14.568617,35.302868,35.214635,1.424718,3.538660,0.001822,0.000091,0.036083,0.000068,0.000030,0.792834,0.051378,0.013677,0.016674,0.362262,0.000226,0.013569,0.000148,0.000084,7.369530,21.655707,21.655568,21.434956,9.531345,5.501244,11.203239,0.643517,0.213447,0.080923,0.017435,2.741972,21.094596,20.735663,0,0,0,0,0,0,0,0
xpu,LearningToPaint,96,13.183907,0.545741,0.918401,0.356215,12.430747,0.054338,0.114002,0.196713,0.002150,0.183932,0.009754,11.970180,0.718176,0.146845,1.092328,0.006709,0.000049,0.000949,0.000035,10.071104,0.150255,1.018039,0.815590,0.009126,0.045461,0.335505,0.012062,0.358309,7.575958,13.815104,13.796334,0.337863,0.358303,0.000467,0.000076,0.007021,0.000053,0.000029,0.142720,0.006095,0.002805,0.003116,0.075595,0.000177,0.002733,0.000100,0.000082,2.579524,10.141789,10.141662,6.343488,2.435233,0.996579,3.618320,0.274908,3.793167,3.744363,0.045697,6.390219,6.328731,6.239787,0,0,0,0,0,0,0,0
xpu,pytorch_unet,1,14.773316,0.727223,1.154556,0.405804,13.823675,0.056898,0.117628,0.210802,0.002131,0.331991,0.010899,13.305095,0.859785,0.146792,1.116435,0.006639,0.000057,0.000881,0.000033,11.238072,0.226839,1.330856,0.277187,0.010248,0.050933,0.017333,0.012104,0.583706,8.647160,17.810475,17.789067,0.470881,0.394210,0.000522,0.000079,0.008278,0.000060,0.000028,0.151611,0.007270,0.003142,0.003800,0.084234,0.000201,0.003340,0.000099,0.000078,2.497543,13.927057,13.926940,11.640833,4.140496,1.138700,7.263484,0.220896,2.279876,2.232321,0.083543,12.305503,9.237542,9.163977,0,0,0,0,0,0,0,0
xpu,Super_SloMo,6,10.603043,1.064675,1.750059,0.401130,9.217461,0.120015,0.119415,0.301851,0.002819,0.694090,0.021682,8.402333,0.864367,0.145043,0.010101,0.000071,0.001041,0.000057,7.490982,0.473079,2.373489,1.099203,0.055223,0.180284,0.120257,0.028887,1.408265,1.756141,2.093613,2.021401,1.148327,0.048749,0.026329,0.208560,0.113807,0.106831,0.460389,0.408520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
xpu,timm_nfnet,128,27.244408,1.825306,3.209061,0.851827,25.074678,0.222278,0.239410,0.324869,0.002318,1.092689,0.032519,23.552800,0.720691,0.150037,1.093750,0.012665,0.000051,0.002817,0.000036,21.571941,0.527436,3.745480,0.821394,0.039288,0.138351,0.360822,0.033069,1.714851,14.262155,35.283331,35.221035,1.212883,1.240363,0.001364,0.000078,0.024500,0.000061,0.000029,0.522168,0.012023,0.009823,0.012289,0.261811,0.000203,0.009596,0.000129,0.000082,6.254452,25.368261,25.368136,24.702290,10.341105,4.974569,13.706517,0.603272,0.657821,0.554556,0.112442,19.572368,21.829544,21.022319,0,0,0,0,0,0,0,0
xpu,alexnet,128,6.931723,0.181245,0.251382,0.102989,6.600059,0.011683,0.024246,0.141924,0.002767,0.060840,0.003068,6.469159,0.710809,0.146987,1.092154,0.004890,0.000054,0.000127,0.000029,4.630879,0.049592,0.263365,0.355702,0.001130,0.005945,0.013870,0.000050,0.042512,3.891001,11.888765,11.885776,0.074062,0.045957,0.000105,0.000074,0.000599,0.000045,0.000028,0.005539,0.000709,0.000347,0.000491,0.007995,0.000152,0.000374,0.000092,0.000079,0.410687,11.220808,11.220697,4.055327,2.036120,0.337682,1.972795,0.041110,7.163011,7.148339,0.028323,5.102547,8.009046,7.998184,0,0,0,0,0,0,0,0
xpu,hf_BigBird,2,37.133541,30.621026,2.003294,0.720122,5.791409,0.106520,0.210194,0.662706,0.016074,0.489123,0.030420,33.873893,0.586841,0.147444,1.099424,0.016614,0.000495,0.001635,0.000464,32.043928,0.393260,1.734008,2.244761,0.023501,0.058866,1.616502,0.005463,0.645841,26.763882,36.881137,36.850397,0.247932,0.467053,0.000904,0.000455,0.007908,0.000329,0.000213,0.137124,0.008754,0.002590,0.003031,0.157766,0.001199,0.003040,0.000704,0.000611,2.318476,33.139817,33.139045,23.957530,2.624124,0.646244,21.216253,0.098667,9.205478,0.463510,8.484284,0.038730,0.000061,6.580120,0.175203,0.002862,0.000213,10.236992,10.123565,0.001069,0.009949,0
xpu,shufflenet_v2_x1_0,128,27.731902,1.336512,2.609808,1.095336,26.039569,0.167766,0.476574,0.335775,0.002824,0.424883,0.028586,24.614501,0.719855,0.141251,1.042079,0.011501,0.000052,0.002463,0.000036,22.655554,0.348233,3.018784,0.481786,0.026882,0.120326,0.091443,0.030640,1.522657,16.876281,52.109315,51.430061,0.942621,1.019467,0.001253,0.000079,0.023883,0.000069,0.000030,0.396703,0.016811,0.008819,0.011157,0.225033,0.000211,0.008617,0.000147,0.000082,5.955545,42.326781,42.326662,30.035898,12.930298,4.437193,16.457912,0.609400,12.280963,12.181580,0.173535,27.090902,35.449911,35.234132,0,0,0,0,0,0,0,0
